### 2.6.3 快速决策表

#### WXZC>0时

| 护型 | 操作 | 维持率 | 转坏概率 | 持有期<br>中位数 | 下周<br>均HR | 下周<br>HR≥3% | 理据 |
|:----|:----|:------:|:---------|:-----------:|:--------:|:------------:|:------|
| **甲** | **持有** | 84.1% | →乙10.4%/→丙4.3% | 5周 | 4.88% | 53.7% | 稳定正交，可长期持有 |
| **乙(ZA>0)** | **持有** | 80.0% | →乙(ZA≤0)13.5%/→丙5.8% | 3周 | 4.73% | 52.2% | 最稳定护型，放心持有 |
| **乙(ZA≤0)** | **减仓/退出** | 33.4% | →丙36.3% | 3周 | 4.26% | 47.9% | 脆弱平衡，恶化风险大 |
| **己** | **试仓** | 22.4% | →戊17.1% | 1周 | 5.11% | 55.3% | 最强但过渡态，60.5%→甲则持有 |
| **丙** | **退出观望** | 46.0% | →丁32.2% | 1周 | 4.19% | 48.1% | 死亡螺旋，不可操作 |
| **丁** | **被动持仓** | 70.4% | →戊6.9% | 5周 | 4.58% | 51.2% | 不涨不跌，等转甲/己信号 |
| **戊(ZA>0)** | **试仓** | 16.3% | →戊(ZA≤0)32.0% | 3周 | 4.91% | 54.7% | 38.1%→己，51.7%向好 |
| **戊(ZA≤0)** | **回避** | 62.8% | →戊(ZA>0)7.4% | 3周 | 4.30% | 48.2% | 死水，不可操作 |#### WXZC≤0时

| 护型 | 操作 | 维持率 | 转坏概率 | 持有期<br>中位数 | 下周<br>均HR | 下周<br>HR≥3% | 理据 |
|:----|:----|:------:|:---------|:-----------:|:--------:|:------------:|:------|
| **己** | **试仓** | 41.9% | →戊24.8% | 1周 | 5.11% | 55.3% | 33.3%→甲，但下周HR≥3%仅55%，不可持续 |
| **甲** | **试仓** | 70.7% | →丙11.8%/→丁11.0% | 5周 | 4.88% | 53.7% | 维持率高但下周HR≥3%仅54%，无介入价值 |
| **乙(ZA>0)** | **试仓** | 72.7% | →丙16.0%/→丁11.3% | 3周 | 4.73% | 52.2% | 样本仅4,617，结论不可靠 |
| **乙(ZA≤0)** | **空仓等待** | 47.5% | →丙38.6%/→丁13.8% | 3周 | 4.26% | 47.9% | 维持率低，转坏概率高 |
| **丙** | **空仓等待** | 20.2% | →丁64.9% | 1周 | 4.19% | 48.1% | 维持率极低，死亡螺旋 |
| **�
