高波池文件: 3451

=== 各护型 × ZC方向 次日冲高≥3% ===
护型     ZC方向              n   P(≥3%)     平均高幅
--------------------------------------------------
甲      ZC>0      2,069,579   27.26%    2.33%
甲      ZC<=0       209,422   19.58%    1.82%
甲      全部        2,279,001   26.56%    2.28%
乙      ZC>0      2,420,807   28.30%    2.35%
乙      ZC<=0        87,351   19.49%    1.82%
乙      全部        2,508,158   27.99%    2.34%
丙      ZC>0        433,051   24.33%    2.10%
丙      ZC<=0       253,396   19.84%    1.85%
丙      全部          686,447   22.68%    2.01%
己      ZC>0        212,709   25.79%    2.20%
己      ZC<=0       435,419   21.28%    1.91%
己      全部          648,128   22.76%    2.00%
戊      ZC>0         65,585   24.41%    2.06%
戊      ZC<=0     2,511,812   19.28%    1.80%
戊      全部        2,577,397   19.41%    1.81%
丁      ZC>0        146,880   24.92%    2.10%
丁      ZC<=0     2,244,574   20.99%    1.89%
丁      全部        2,391,454   21.23%    1.90%
--------------------------------------------------
基线     ZC>0      5,348,611   27.34%    2.31%
基线     ZC<=0     5,741,974   20.14%    1.85%
基线     全部       11,090,585   23.61%    2.07%
