DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
金,上,上,2835950,99.8,98.0,82.4,97.7,86.8,51.1,2.31,1.39
金,上,中,592158,99.3,92.9,29.8,74.2,43.4,13.9,2.1,1.43
金,上,下,413672,98.1,73.4,15.9,51.9,26.8,7.9,2.01,1.43
金,上,忐,174052,99.5,85.9,81.1,99.0,90.1,49.3,2.05,1.3
金,上,忠,52107,99.3,76.3,65.0,97.0,78.5,31.6,1.96,1.25
金,上,忑,183943,99.0,66.9,28.6,72.5,44.1,13.9,1.98,1.33
金,中,上,9430,99.1,38.7,38.7,94.8,67.6,21.5,1.69,1.05
金,中,中,3983,98.2,32.3,29.1,78.6,41.5,10.6,1.67,1.11
金,中,下,77256,94.2,20.9,9.7,35.7,16.7,4.7,1.85,1.32
金,中,忐,47647,99.4,44.9,44.9,98.8,87.5,41.9,1.89,1.2
金,中,忠,103331,99.1,30.0,30.0,97.6,79.4,30.5,1.85,1.17
金,中,忑,662167,98.2,14.6,10.8,53.9,29.2,8.2,1.9,1.35
金,下,上,4021,97.0,29.9,29.9,95.8,69.1,23.1,1.77,1.16
金,下,中,1420,94.3,24.1,23.6,81.3,44.0,9.9,1.74,1.17
金,下,下,21334,71.5,12.4,9.0,39.1,18.1,4.8,1.83,1.22
金,下,忐,23839,96.9,25.7,25.7,99.0,87.8,41.2,1.83,1.17
金,下,忠,96829,89.4,8.6,8.6,97.8,80.1,30.0,1.8,1.15
金,下,忑,890297,60.5,2.0,2.0,44.2,22.9,6.0,1.9,1.37
金,忐,上,265004,97.4,95.1,85.1,98.7,88.3,48.7,2.05,1.28
金,忐,中,30720,82.3,75.9,30.8,76.7,41.0,11.2,1.91,1.31
金,忐,下,6655,60.8,50.5,18.8,57.8,29.4,8.3,1.9,1.31
金,忐,忐,5228,94.3,84.9,84.3,98.8,93.2,56.8,2.13,1.34
金,忐,忠,161,72.0,60.2,57.1,98.1,78.9,24.8,1.77,1.22
金,忐,忑,398,65.3,56.0,41.2,91.7,54.8,14.1,1.71,1.24
金,忠,上,29874,88.6,71.6,68.7,97.6,80.0,34.9,1.81,1.15
金,忠,中,8960,69.1,52.2,30.3,76.6,39.2,10.2,1.76,1.18
金,忠,下,5662,48.5,35.6,17.4,57.1,26.8,6.8,1.71,1.19
金,忠,忐,4655,90.3,74.3,74.3,99.3,91.3,49.5,1.95,1.23
金,忠,忠,229,78.2,60.7,57.6,96.1,70.3,23.1,1.64,1.15
金,忠,忑,500,58.6,44.8,36.8,86.8,54.4,13.8,1.79,1.2
金,忑,上,19116,86.3,35.0,35.0,96.6,73.5,26.7,1.73,1.14
金,忑,中,6978,72.1,25.1,23.3,78.4,41.5,10.9,1.7,1.14
金,忑,下,29877,46.6,14.4,10.9,48.6,22.7,5.7,1.72,1.19
金,忑,忐,31143,87.6,31.3,31.3,99.0,87.2,41.3,1.85,1.19
金,忑,忠,34339,65.5,10.3,10.3,97.3,76.1,27.0,1.74,1.12
金,忑,忑,197633,23.3,3.2,3.1,51.1,25.7,6.6,1.79,1.22
银,上,上,801170,99.8,98.8,80.9,98.0,87.2,49.2,2.26,1.36
银,上,中,198140,99.1,95.1,28.8,74.0,41.8,12.4,2.03,1.39
银,上,下,127383,96.9,76.3,15.4,50.8,25.4,7.1,1.95,1.37
银,上,忐,31448,99.3,87.1,80.3,99.0,89.5,43.9,1.96,1.24
银,上,忠,12052,99.0,76.5,63.6,97.4,77.9,26.6,1.78,1.17
银,上,忑,52636,98.4,68.4,28.2,73.4,42.1,11.4,1.82,1.26
银,中,上,620,95.3,35.3,35.3,92.1,60.6,15.3,1.44,0.87
银,中,中,360,94.7,28.6,26.9,75.3,35.8,8.6,1.36,0.96
