DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR,父级样本,收缩标记
金,上,上,2835950,99.8,98.0,82.4,86.1,59.2,39.2,2.31,1.39,4251882,
金,上,中,592158,99.3,92.9,29.8,86.8,61.0,38.4,2.1,1.43,4251882,
金,上,下,413672,98.1,73.4,15.9,87.2,61.6,37.8,2.01,1.43,4251882,
金,上,忐,174052,99.5,85.9,81.1,86.2,57.8,36.2,2.05,1.3,4251882,
金,上,忠,52107,99.3,76.3,65.0,84.6,56.4,35.4,1.96,1.25,4251882,
金,上,忑,183943,99.0,66.9,28.6,85.9,58.6,36.4,1.98,1.33,4251882,
金,中,上,9430,99.1,38.7,38.7,83.9,51.7,29.6,1.69,1.05,903814,
金,中,中,3983,98.2,32.3,29.1,84.4,53.4,30.6,1.67,1.11,903814,
金,中,下,77256,94.2,20.9,9.7,86.2,59.4,34.8,1.85,1.32,903814,
金,中,忐,47647,99.4,44.9,44.9,85.2,55.3,34.0,1.89,1.2,903814,
金,中,忠,103331,99.1,30.0,30.0,85.1,55.0,33.0,1.85,1.17,903814,
金,中,忑,662167,98.2,14.6,10.8,86.6,59.7,35.8,1.9,1.35,903814,
金,下,上,4021,97.0,29.9,29.9,86.1,54.8,32.2,1.77,1.16,1037740,
金,下,中,1420,94.3,24.1,23.6,86.1,54.9,32.3,1.74,1.17,1037740,
金,下,下,21334,71.5,12.4,9.0,85.5,56.9,33.0,1.83,1.22,1037740,
金,下,忐,23839,96.9,25.7,25.7,84.6,54.9,32.6,1.83,1.17,1037740,
金,下,忠,96829,89.4,8.6,8.6,84.4,54.4,32.1,1.8,1.15,1037740,
金,下,忑,890297,60.5,2.0,2.0,86.8,60.2,36.0,1.9,1.37,1037740,
金,忐,上,265004,97.4,95.1,85.1,86.3,57.5,35.7,2.05,1.28,308166,
金,忐,中,30720,82.3,75.9,30.8,88.4,59.2,34.5,1.91,1.31,308166,
金,忐,下,6655,60.8,50.5,18.8,87.5,59.1,34.6,1.9,1.31,308166,
金,忐,忐,5228,94.3,84.9,84.3,85.8,58.7,36.9,2.13,1.34,308166,
金,忐,忠,161,72.0,60.2,57.1,83.2,55.9,32.3,1.77,1.22,308166,
金,忐,忑,398,65.3,56.0,41.2,86.7,57.5,32.9,1.71,1.24,308166,
