========================================================================================================================
四维组合（地型×等型×柱排×顶型）对甲/乙(ZA>0)的环境分类与风险机会
========================================================================================================================

| 地型 | 等型 | 柱排 | 顶型 | 样本 | 甲% | 乙% | 下周HR≥3% | 下周PR>0 | 下周均PR | 维持率 | 环境语义 |
|:----:|:----:|:----:|:----:|:----:|:---:|:---:|:---------:|:--------:|:--------:|:------:|:---------|
| 0橅 | 等3 | 升 | 触顶.合顶 | 182,612 | 71% | 29% | 65.9% | 47.6% | +0.74% | 94.0% | 远离WJA升排 🟢机会 |
| 0橅 | 等3 | 升 | 未触.合顶 | 77,517 | 72% | 28% | 62.2% | 47.8% | +0.34% | 87.4% | 远离WJA升排 🟡中性 |
| 0橅 | 等3 | 升 | 未触.未合 | 34,256 | 57% | 43% | 59.1% | 49.9% | +0.56% | 82.3% | 远离WJA升排 🟡中性 |
| 1柜 | 等3 | 升 | 触顶.合顶 | 28,897 | 64% | 36% | 65.3% | 46.4% | +0.43% | 92.9% | 远离WJA升排 🟢机会 |
| 2栅 | 等3 | 升 | 触顶.合顶 | 28,705 | 60% | 40% | 67.5% | 47.1% | +0.60% | 93.9% | 远离WJA升排 🟢机会 |
| 2栅 | 等3 | 跌 | 未触.合顶 | 27,806 | 72% | 28% | 58.6% | 48.0% | +0.29% | 70.4% | 远离WJA跌排 🟡中性 |
| 0橅 | 等2 | 升 | 触顶.合顶 | 21,361 | 70% | 30% | 68.4% | 45.3% | +0.54% | 94.3% | 回归WJA后升排触顶 🟢强机会 |
| 2栅 | 等2 | 跌 | 未触.合顶 | 20,306 | 71% | 29% | 57.5% | 48.6% | +0.28% | 49.0% | 回归WJA跌排 🟠风险 |
| 1柜 | 等3 | 升 | 未触.合顶 | 15,311 | 66% | 34% | 61.4% | 48.2% | +0.47% | 82.8% | 远离WJA升排 🟡中性 |
| 2栅 | 等3 | 升 | 未触.未合 | 14,596 | 39% | 61% | 59.9% | 49.0% | +0.52% | 81.1% | 远离WJA升排 🟡中性 |
| 2栅 | 等3 | 升 | 未触.合顶 | 13,518 | 57% | 43% | 60.9% | 48.2% | +0.43% | 83.7% | 远离WJA升排 🟡中性 |
| 1柜 | 等3 | 升 | 未触.未合 | 9,725 | 46% | 54% | 59.4% | 48.6% | +0.25% | 80.7% | 远离WJA升排 🟡中性 |
| 2栅 | 等1 | 升 | 未触.未合 | 8,269 | 19% | 81% | 58.7% | 46.6% | +0.15% | 77.3% | 回归WJA后升排 🟡中性 |
