文件数: 3451

====================================================================================================
V1必赢 + 增强条件 样本量统计
====================================================================================================

| 条件                             |        样本数 |       占比 |
|------------------------------|----------:|--------:|
| 基础(ZE>0+ZC>0)                  |  3,985,754 |   100.0% |
| +ZA>0                          |  2,952,588 |    74.1% |
| +甲乙己                           |  3,457,180 |    86.7% |
| +升排                            |  2,512,882 |    63.0% |
| +合顶                            |  3,985,754 |   100.0% |
| +ZA+AB                         |  2,912,437 |    73.1% |
| +ZA+AB+升排                      |  2,244,947 |    56.3% |
| +ZA+AB+合顶                      |  2,912,437 |    73.1% |
| 全条件                            |  2,244,947 |    56.3% |
