DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3 | 护型=甲 | 日ZA=3
DXAB=z丁↘忑-1.Y暂 | 护型=丁 | 日ZA=-1
DXAB=r己↗忐-2.I暂 | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2暂 | 护型=甲 | 日ZA=2
DXAB=z丁↘忑-1.Y暂 | 护型=丁 | 日ZA=-1
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上5.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上6.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上7.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上8.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上9.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上10.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上11.A11 | 护型=甲 | 日ZA=11
DXAB=a甲↗上12.A12 | 护型=甲 | 日ZA=12
DXAB=a甲↗上13.A13 | 护型=甲 | 日ZA=13
DXAB=a甲↗上14.A14 | 护型=甲 | 日ZA=14
DXAB=a甲↗上15.A15 | 护型=甲 | 日ZA=15
DXAB=a甲↗上16.A16 | 护型=甲 | 日ZA=16
DXAB=a甲↗上17.A17 | 护型=甲 | 日ZA=17
DXAB=a甲↗上18.A18 | 护型=甲 | 日ZA=18
DXAB=a甲↗上19.A19 | 护型=甲 | 日ZA=19
DXAB=a甲↗上20.A20 | 护型=甲 | 日ZA=20
DXAB=b乙→中21.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中22.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中23.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙↗上24.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上25.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上26.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上27.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上28.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上29.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上30.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上31.A8 | 护型=乙 | 日ZA=8
DXAB=b乙↗上32.A9 | 护型=乙 | 日ZA=9
DXAB=b乙→中33.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下34.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下35.Z-3 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下36.Z-4 | 护型=丙 | 日ZA=-4
DXAB=b乙↗上37.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上38.B2 | 护型=乙 | 日ZA=2
DXAB=c丙↘下39.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=y戊↘忠-11.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-12.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-13.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中7.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中8.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙→中9.Z-4 | 护型=乙 | 日ZA=-4
DXAB=b乙→中10.Z-5 | 护型=乙 | 日ZA=-5
DXAB=b乙→中11.Z-6 | 护型=乙 | 日ZA=-6
DXAB=b乙↗上12.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上13.B2 | 护型=乙 | 日ZA=2
DXAB=b乙↗上14.B3 | 护型=乙 | 日ZA=3
DXAB=b乙↗上15.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上16.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上17.A6 | 护型=乙 | 日ZA=6
DXAB=b乙→中18.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中19.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中20.Z-3 | 护型=乙 | 日ZA=-3
DXAB=c丙↘下21.Z-4 | 护型=丙 | 日ZA=-4
DXAB=z丁↘忑-1.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-2.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-3.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-4.Z-8 | 护型=丁 | 日ZA=-8
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上5.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上6.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上7.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上8.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上9.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上10.A11 | 护型=甲 | 日ZA=11
DXAB=a甲↗上11.A12 | 护型=甲 | 日ZA=12
DXAB=a甲↗上12.A13 | 护型=甲 | 日ZA=13
DXAB=b乙→中13.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下14.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=r己↗忐-3.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=c丙↘下3.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=y戊↘忠-6.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-7.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-8.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-9.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-10.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-11.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-12.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-13.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忠-14.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-15.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-16.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忑-17.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-18.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-19.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忠-20.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-21.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上8.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上9.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上10.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上11.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上12.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上13.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上14.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上15.A8 | 护型=乙 | 日ZA=8
DXAB=b乙↗上16.A9 | 护型=乙 | 日ZA=9
DXAB=b乙→中17.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中18.Z-2 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下19.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=y戊↘忠-4.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-5.B2 | 护型=己 | 日ZA=2
DXAB=y戊↘忠-6.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-7.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忑-8.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-9.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-10.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-11.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-12.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-13.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-14.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-15.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-16.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-17.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-18.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-19.Z-12 | 护型=戊 | 日ZA=-12
