共 7455 个文件

=== 跌管(丙丁戊+DXZA<0) 各护型 管宽分类 ===
跌管_c_基线: n=1257677, 次日P3%=19.49%, 均高幅=1.81%
跌管_c_平管: n=501195, 次日P3%=30.84%, 均高幅=2.43%
跌管_c_扩管: n=7041, 次日P3%=25.47%, 均高幅=2.09%
跌管_c_窄管: n=744229, 次日P3%=11.93%, 均高幅=1.40%
跌管_c_管宽<=0: n=5212, 次日P3%=0.21%, 均高幅=0.02%
跌管_y_基线: n=3189293, 次日P3%=17.13%, 均高幅=1.66%
跌管_y_平管: n=851841, 次日P3%=30.47%, 均高幅=2.42%
跌管_y_扩管: n=7455, 次日P3%=23.31%, 均高幅=1.93%
跌管_y_窄管: n=2322398, 次日P3%=12.27%, 均高幅=1.39%
跌管_y_管宽<=0: n=7599, 次日P3%=3.11%, 均高幅=0.42%
跌管_z_基线: n=4319813, 次日P3%=18.82%, 均高幅=1.75%
跌管_z_平管: n=1571773, 次日P3%=30.05%, 均高幅=2.37%
跌管_z_扩管: n=19642, 次日P3%=22.83%, 均高幅=1.99%
跌管_z_窄管: n=2713999, 次日P3%=12.36%, 均高幅=1.39%
跌管_z_管宽<=0: n=14399, 次日P3%=5.47%, 均高幅=0.49%
