核心池文件: 4906, 总行数: 3976814
等类分布: {'等1': 484713, '等3': 2620557, '等2': 785606, '等6': 85938}

=== 全量赛马排名（≥2% > 37.1%，n≥1000，共64条）===
  排名 策略                                   样本      ≥2%      ≥3%
-----------------------------------------------------------------
   1 B等1.偏5连门                         85,720    59.9%    48.0%
   2 B等1.偏5连                          96,592    59.8%    47.9%
   3 B等1.偏5门                          88,070    59.7%    47.9%
   4 B等1.偏5                           98,973    59.6%    47.8%
   5 B等2.偏5门                         173,023    59.1%    47.2%
   6 B等2.偏5连门                        131,370    58.8%    47.4%
   7 B等2.偏5                          203,434    58.7%    46.8%
   8 B等2.偏5连                         157,657    58.2%    46.8%
   9 B等3.偏5连门                        526,153    57.7%    46.3%
  10 B等3.偏5连                         649,220    56.6%    45.2%
  11 B等3.偏5门                         903,217    55.9%    43.5%
  12 B等6.偏5门                           1,361    55.7%    43.2%
  13 B等6.偏5                            1,397    55.7%    43.0%
  14 B等3.偏5                        1,095,877    55.1%    42.6%
  15 B等6.偏5连                           1,317    55.0%    42.7%
  16 B等6.偏5连门                          1,285    54.9%    42.9%
  17 B等1.偏3连门                        189,365    54.6%    41.5%
  18 B等1.偏3连                         208,909    54.4%    41.4%
  19 B等1.偏3门                         195,697    54.4%    41.3%
  20 B等6.偏3连门                          6,651    54.3%    40.1%
  21 B等1.偏3                          215,429    54.2%    41.2%
  22 B等6.偏3连                           6,800    54.2%    40.1%
  23 B等6.偏3门                           7,308    53.7%    39.6%
  24 B等6.偏3                            7,472    53.7%    39.5%
  25 B等2.偏3连门                        226,708    53.6%    41.3%
  26 B等2.偏3门                         341,183    53.4%    40.2%
  27 B等2.偏3                          397,055    53.0%    39.8%
  28 B等2.偏3连                         270,727    53.0%    40.7%
  29 B等3.偏3连门                        736,309    52.7%    40.8%
  30 B等3.偏3连                         914,508    51.6%    39.6%
  31 B等3.连门                          842,816    50.1%    38.1%
  32 C等3.偏3门                       1,497,705    49.9%    36.9%
  33 C等3.偏3                        1,826,272    49.0%    36.0%
  34 C等2.连门                          329,206    48.9%    36.1%
  35 C等3.连                         1,049,152    48.9%    36.9%
  36 C等2.连                           392,827    48.3%    35.5%
  37 C等1.连门                          393,991    46.9%    33.3%
  38 C等1.连                           430,888    46.6%    33.1%
  39 C等1.层主门                         166,125    46.4%    33.2%
  40 C等2.层主门                         471,231    46.0%    32.7%
  41 C等1.层主                          178,301    46.0%    32.8%
  42 C等6.连门                           67,816    45.9%    31.1%
  43 C等6.连                            70,071    45.8%    31.0%
  44 C等2.层主                          510,436    45.6%    32.2%
  45 C等3.层主门                       1,314,512    45.5%    33.0%
  46 C等1.门                           444,554    45.2%    31.8%
  47 C等1.BT鼎门                        444,554    45.2%    31.8%
  48 C等1.基准                          484,713    45.0%    31.6%
  49 C等1.BT鼎                         484,713    45.0%    31.6%
  50 C等2.门                           677,055    45.0%    31.6%
  51 C等2.BT鼎门                        677,055    45.0%    31.6%
  52 C等3.层主                        1,437,507    44.8%    32.2%
  53 C等2.基准                          785,606    44.5%    31.1%
  54 C等2.BT鼎                         785,606    44.5%    31.1%
  55 C等6.层主门                          23,389    44.3%    30.3%
  56 C等6.层主                           24,553    44.1%    30.1%
  57 C等3.门                         2,144,774    44.0%    31.2%
  58 C等3.BT鼎门                      2,144,774    44.0%    31.2%
  59 C等6.门                            82,963    43.4%    29.0%
  60 C等6.BT鼎门                         82,963    43.4%    29.0%
  61 C等6.基准                           85,938    43.2%    28.9%
  62 C等6.BT鼎                          85,938    43.2%    28.9%
  63 C等3.基准                        2,620,557    43.0%    30.3%
  64 C等3.BT鼎                       2,620,557    43.0%    30.3%
