共 7455 个文件

=== 升管(DXZA>0) 管宽分类 全量 ===
升管_基线: n=10111792, 次日P3%=22.28%, 均高幅=1.99%
升管_平管: n=1522327, 次日P3%=37.14%, 均高幅=2.86%
升管_平管_其他: n=2620, 次日P3%=41.26%, 均高幅=3.07%
升管_扩管: n=1874166, 次日P3%=38.61%, 均高幅=3.09%
升管_窄管: n=6671770, 次日P3%=14.43%, 均高幅=1.49%
升管_窄管_其他: n=2837, 次日P3%=19.92%, 均高幅=1.75%
升管_管宽<=0: n=43528, 次日P3%=3.91%, 均高幅=0.45%
升管_管宽<=0_其他: n=1997, 次日P3%=81.57%, 均高幅=8.26%
升管_管宽空: n=1, 次日P3%=0.00%, 均高幅=0.00%

=== 升管 管宽分类 × 等型 ===
升管_平管_等1: n=311160, 次日P3%=42.75%, 均高幅=3.31%
升管_平管_等2: n=56293, 次日P3%=42.31%, 均高幅=3.34%
升管_平管_等3: n=26545, 次日P3%=42.02%, 均高幅=3.32%
升管_平管_等5: n=268947, 次日P3%=38.03%, 均高幅=2.84%
升管_平管_等6: n=234613, 次日P3%=34.39%, 均高幅=2.67%
升管_平管_等7: n=96547, 次日P3%=30.53%, 均高幅=2.45%
升管_平管_等其他: n=528222, 次日P3%=35.00%, 均高幅=2.70%
升管_扩管_等1: n=275620, 次日P3%=40.35%, 均高幅=3.20%
升管_扩管_等2: n=324555, 次日P3%=41.70%, 均高幅=3.36%
升管_扩管_等3: n=318830, 次日P3%=48.79%, 均高幅=4.05%
升管_扩管_等5: n=414741, 次日P3%=34.93%, 均高幅=2.71%
升管_扩管_等6: n=38300, 次日P3%=33.19%, 均高幅=2.59%
升管_扩管_等7: n=20097, 次日P3%=27.17%, 均高幅=2.17%
升管_扩管_等其他: n=482023, 次日P3%=32.85%, 均高幅=2.61%
升管_窄管_等1: n=826370, 次日P3%=19.23%, 均高幅=1.79%
升管_窄管_等2: n=264972, 次日P3%=19.08%, 均高幅=1.79%
升管_窄管_等3: n=74533, 次日P3%=19.98%, 均高幅=1.87%
升管_窄管_等5: n=835964, 次日P3%=15.57%, 均高幅=1.56%
升管_窄管_等6: n=488834, 次日P3%=14.04%, 均高幅=1.49%
升管_窄管_等7: n=673207, 次日P3%=7.96%, 均高幅=1.05%
升管_窄管_等其他: n=3507890, 次日P3%=13.85%, 均高幅=1.46%
升管_管宽<=0_等1: n=1524, 次日P3%=88.12%, 均高幅=8.65%
升管_管宽<=0_等5: n=476, 次日P3%=60.08%, 均高幅=6.94%
升管_管宽<=0_等6: n=62, 次日P3%=14.52%, 均高幅=7.29%
升管_管宽<=0_等7: n=26482, 次日P3%=0.11%, 均高幅=0.08%
升管_管宽<=0_等其他: n=14984, 次日P3%=0.24%, 均高幅=0.03%

=== 升管 管宽分类 × 柱排 ===
升管_平管_人排: n=829430, 次日P3%=37.46%, 均高幅=2.88%
升管_平管_升吞: n=35606, 次日P3%=43.56%, 均高幅=3.35%
升管_平管_升孕: n=58660, 次日P3%=35.99%, 均高幅=2.72%
升管_平管_升连: n=286017, 次日P3%=40.28%, 均高幅=3.08%
升管_平管_跌吞: n=22510, 次日P3%=29.98%, 均高幅=2.49%
升管_平管_跌孕: n=51184, 次日P3%=31.86%, 均高幅=2.52%
升管_平管_跌连: n=236300, 次日P3%=33.31%, 均高幅=2.62%
升管_扩管_升吞: n=177575, 次日P3%=40.56%, 均高幅=3.20%
升管_扩管_升孕: n=383961, 次日P3%=33.60%, 均高幅=2.63%
升管_扩管_升连: n=1312630, 次日P3%=39.81%, 均高幅=3.21%
升管_窄管_人排: n=1821850, 次日P3%=15.12%, 均高幅=1.54%
升管_窄管_升吞: n=514210, 次日P3%=16.06%, 均高幅=1.59%
升管_窄管_升孕: n=851954, 次日P3%=12.91%, 均高幅=1.41%
升管_窄管_升连: n=2999482, 次日P3%=14.45%, 均高幅=1.48%
升管_窄管_跌吞: n=38044, 次日P3%=12.38%, 均高幅=1.40%
升管_窄管_跌孕: n=87743, 次日P3%=13.80%, 均高幅=1.49%
升管_窄管_跌连: n=355650, 次日P3%=12.34%, 均高幅=1.41%
升管_管宽<=0_人排: n=5989, 次日P3%=0.03%, 均高幅=0.02%
升管_管宽<=0_升吞: n=747, 次日P3%=0.13%, 均高幅=0.03%
升管_管宽<=0_升孕: n=995, 次日P3%=0.20%, 均高幅=0.04%
升管_管宽<=0_升连: n=33386, 次日P3%=0.20%, 均高幅=0.09%
升管_管宽<=0_跌吞: n=64, 次日P3%=0.00%, 均高幅=-0.01%
升管_管宽<=0_跌孕: n=153, 次日P3%=0.00%, 均高幅=0.01%
升管_管宽<=0_跌连: n=197, 次日P3%=0.00%, 均高幅=0.03%

=== 跌管(DXZA<0) 管宽分类 对照 ===
跌管_基线: n=10168370, 次日P3%=18.73%, 均高幅=1.75%
跌管_平管: n=3479001, 次日P3%=30.74%, 均高幅=2.42%
跌管_扩管: n=50756, 次日P3%=25.65%, 均高幅=2.11%
跌管_窄管: n=6607710, 次日P3%=12.43%, 均高幅=1.40%
跌管_管宽<=0: n=30903, 次日P3%=3.40%, 均高幅=0.34%
