共 7455 个文件

=== 升管(DXZA>0) 管宽分类 全量 ===
升管_基线: n=8646933, 次日P3%=23.03%, 均高幅=2.04%
升管_平管: n=1343702, 次日P3%=37.04%, 均高幅=2.86%
升管_平管_其他: n=2620, 次日P3%=41.26%, 均高幅=3.07%
升管_扩管: n=1856187, 次日P3%=38.73%, 均高幅=3.10%
升管_窄管: n=5408454, 次日P3%=14.29%, 均高幅=1.49%
升管_窄管_其他: n=2837, 次日P3%=19.92%, 均高幅=1.75%
升管_管宽<=0: n=38589, 次日P3%=4.35%, 均高幅=0.50%
升管_管宽<=0_其他: n=1997, 次日P3%=81.57%, 均高幅=8.26%
升管_管宽空: n=1, 次日P3%=0.00%, 均高幅=0.00%

=== 升管 管宽分类 × 等型 ===
升管_平管_等1: n=306880, 次日P3%=42.77%, 均高幅=3.32%
升管_平管_等2: n=53025, 次日P3%=42.52%, 均高幅=3.36%
升管_平管_等3: n=25770, 次日P3%=42.20%, 均高幅=3.34%
升管_平管_等5: n=266245, 次日P3%=38.05%, 均高幅=2.84%
升管_平管_等6: n=233987, 次日P3%=34.39%, 均高幅=2.67%
升管_平管_等7: n=96351, 次日P3%=30.54%, 均高幅=2.45%
升管_平管_等其他: n=361444, 次日P3%=33.70%, 均高幅=2.62%
升管_扩管_等1: n=275386, 次日P3%=40.36%, 均高幅=3.20%
升管_扩管_等2: n=324292, 次日P3%=41.71%, 均高幅=3.36%
升管_扩管_等3: n=318810, 次日P3%=48.79%, 均高幅=4.05%
升管_扩管_等5: n=414530, 次日P3%=34.94%, 均高幅=2.71%
升管_扩管_等6: n=38281, 次日P3%=33.19%, 均高幅=2.59%
升管_扩管_等7: n=20055, 次日P3%=27.18%, 均高幅=2.17%
升管_扩管_等其他: n=464833, 次日P3%=33.11%, 均高幅=2.63%
升管_窄管_等1: n=804284, 次日P3%=19.16%, 均高幅=1.79%
升管_窄管_等2: n=257975, 次日P3%=19.00%, 均高幅=1.79%
升管_窄管_等3: n=73603, 次日P3%=19.88%, 均高幅=1.86%
升管_窄管_等5: n=819842, 次日P3%=15.52%, 均高幅=1.56%
升管_窄管_等6: n=481997, 次日P3%=13.99%, 均高幅=1.48%
升管_窄管_等7: n=663539, 次日P3%=7.95%, 均高幅=1.05%
升管_窄管_等其他: n=2307214, 次日P3%=13.35%, 均高幅=1.44%
升管_管宽<=0_等1: n=1524, 次日P3%=88.12%, 均高幅=8.65%
升管_管宽<=0_等5: n=476, 次日P3%=60.08%, 均高幅=6.94%
升管_管宽<=0_等6: n=59, 次日P3%=15.25%, 均高幅=7.66%
升管_管宽<=0_等7: n=26083, 次日P3%=0.10%, 均高幅=0.08%
升管_管宽<=0_等其他: n=10447, 次日P3%=0.12%, 均高幅=0.02%

=== 升管 管宽分类 × 柱排 ===
升管_平管_人排: n=777046, 次日P3%=37.52%, 均高幅=2.88%
升管_平管_升吞: n=26168, 次日P3%=43.92%, 均高幅=3.41%
升管_平管_升孕: n=42391, 次日P3%=36.77%, 均高幅=2.79%
升管_平管_升连: n=195034, 次日P3%=40.69%, 均高幅=3.14%
升管_平管_跌吞: n=22045, 次日P3%=30.04%, 均高幅=2.50%
升管_平管_跌孕: n=49373, 次日P3%=31.73%, 均高幅=2.52%
升管_平管_跌连: n=229025, 次日P3%=33.34%, 均高幅=2.62%
升管_扩管_升吞: n=176018, 次日P3%=40.69%, 均高幅=3.21%
升管_扩管_升孕: n=379968, 次日P3%=33.68%, 均高幅=2.64%
升管_扩管_升连: n=1300201, 次日P3%=39.94%, 均高幅=3.22%
升管_窄管_人排: n=1473420, 次日P3%=14.99%, 均高幅=1.54%
升管_窄管_升吞: n=412120, 次日P3%=16.01%, 均高幅=1.58%
升管_窄管_升孕: n=700411, 次日P3%=12.78%, 均高幅=1.41%
升管_窄管_升连: n=2390926, 次日P3%=14.31%, 均高幅=1.48%
升管_窄管_跌吞: n=34646, 次日P3%=12.39%, 均高幅=1.41%
升管_窄管_跌孕: n=76975, 次日P3%=13.71%, 均高幅=1.48%
升管_窄管_跌连: n=317119, 次日P3%=12.34%, 均高幅=1.42%
升管_管宽<=0_人排: n=5081, 次日P3%=0.02%, 均高幅=0.02%
升管_管宽<=0_升吞: n=660, 次日P3%=0.00%, 均高幅=0.01%
升管_管宽<=0_升孕: n=910, 次日P3%=0.22%, 均高幅=0.04%
升管_管宽<=0_升连: n=29542, 次日P3%=0.16%, 均高幅=0.09%
升管_管宽<=0_跌吞: n=59, 次日P3%=0.00%, 均高幅=-0.02%
升管_管宽<=0_跌孕: n=146, 次日P3%=0.00%, 均高幅=0.00%
升管_管宽<=0_跌连: n=194, 次日P3%=0.00%, 均高幅=0.03%

=== 跌管(DXZA<0) 管宽分类 对照 ===
跌管_基线: n=8766783, 次日P3%=18.30%, 均高幅=1.72%
跌管_平管: n=2924809, 次日P3%=30.31%, 均高幅=2.39%
跌管_扩管: n=34138, 次日P3%=23.48%, 均高幅=2.00%
跌管_窄管: n=5780626, 次日P3%=12.27%, 均高幅=1.39%
跌管_管宽<=0: n=27210, 次日P3%=3.80%, 均高幅=0.38%
