  已处理 1000 文件
  已处理 2000 文件
  已处理 3000 文件
  已处理 4000 文件
  已处理 5000 文件
  已处理 6000 文件
  已处理 7000 文件

=== DXZC>0 + 顶态L(离顶) 不同DTZA 次日冲高率(≥3%) ===
DTZA    总数          ≥3%       冲高率       
-10.0   4028        876       21.7      
-9.0    7130        1621      22.7      
-8.0    10029       2230      22.2      
-7.0    12566       2716      21.6      
-6.0    16523       3713      22.5      
-5.0    22379       5118      22.9      
-4.0    31183       6454      20.7      
-3.0    44710       8704      19.5      
-2.0    66437       12932     19.5      
-1.0    105352      18446     17.5      
1.0     188085      43172     23.0      
2.0     166128      32548     19.6      
3.0     127547      23962     18.8      
4.0     81336       14363     17.7      
5.0     44733       8260      18.5      
6.0     20891       3774      18.1      
7.0     9737        1939      19.9      
8.0     4104        837       20.4      
9.0     1716        314       18.3      
10.0    820         149       18.2      

=== 对照: DXZC>0 全部(不分顶态) 不同DTZA 次日冲高率(≥3%) ===
DTZA    总数          ≥3%       冲高率       
-10.0   4149        902       21.7      
-9.0    8603        1930      22.4      
-8.0    17608       3914      22.2      
-7.0    34339       7495      21.8      
-6.0    66229       14913     22.5      
-5.0    120449      29035     24.1      
-4.0    207513      46815     22.6      
-3.0    348771      75213     21.6      
-2.0    583273      126512    21.7      
-1.0    992550      203803    20.5      
1.0     915121      229799    25.1      
2.0     890883      205465    23.1      
3.0     837086      195936    23.4      
4.0     765765      177205    23.1      
5.0     684063      155503    22.7      
6.0     591817      130994    22.1      
7.0     501338      117691    23.5      
8.0     418410      100173    23.9      
9.0     346488      83829     24.2      
10.0    286184      71591     25.0      
