  已处理 1000 文件
  已处理 2000 文件
  已处理 3000 文件
  已处理 4000 文件
  已处理 5000 文件
  已处理 6000 文件
  已处理 7000 文件

=== DXZC>0 + 顶态L(离顶) 不同DTZA 次日冲高率(≥3%) ===
DTZA    总数          ≥3%       冲高率       
-19.0   1           0         0.0       
-18.0   6           2         33.3      
-17.0   18          3         16.7      
-16.0   40          12        30.0      
-15.0   77          17        22.1      
-14.0   179         38        21.2      
-13.0   385         83        21.6      
-12.0   893         200       22.4      
-11.0   1917        443       23.1      
-10.0   4028        876       21.7      
-9.0    7130        1621      22.7      
-8.0    10029       2230      22.2      
-7.0    12566       2716      21.6      
-6.0    16523       3713      22.5      
-5.0    22379       5118      22.9      
-4.0    31183       6454      20.7      
-3.0    44710       8704      19.5      
-2.0    66437       12932     19.5      
-1.0    105352      18446     17.5      
1.0     188085      43172     23.0      
2.0     166128      32548     19.6      
3.0     127547      23962     18.8      
4.0     81336       14363     17.7      
5.0     44733       8260      18.5      
6.0     20891       3774      18.1      
7.0     9737        1939      19.9      
8.0     4104        837       20.4      
9.0     1716        314       18.3      
10.0    820         149       18.2      
11.0    504         75        14.9      
12.0    524         95        18.1      
13.0    462         65        14.1      
14.0    379         53        14.0      
15.0    290         39        13.4      
16.0    296         39        13.2      
17.0    252         55        21.8      
18.0    180         40        22.2      
19.0    164         39        23.8      
20.0    141         18        12.8      
21.0    126         14        11.1      
22.0    100         20        20.0      
23.0    65          11        16.9      
24.0    47          7         14.9      
25.0    51          15        29.4      
26.0    36          6         16.7      
27.0    31          5         16.1      
28.0    20          2         10.0      
29.0    23          6         26.1      
30.0    15          5         33.3      
31.0    4           1         25.0      
32.0    2           1         50.0      
33.0    2           0         0.0       
34.0    3           0         0.0       
35.0    4           0         0.0       
36.0    4           0         0.0       
37.0    4           2         50.0      
39.0    3           1         33.3      
40.0    2           0         0.0       
41.0    2           0         0.0       
42.0    3           0         0.0       
43.0    2           1         50.0      
47.0    1           1         100.0     
48.0    1           0         0.0       
49.0    1           0         0.0       
50.0    1           0         0.0       
64.0    1           0         0.0       
65.0    1           0         0.0       
71.0    1           0         0.0       
72.0    1           0         0.0       
84.0    1           0         0.0       
85.0    1           0         0.0       
106.0   1           0         0.0       
130.0   1           0         0.0       
137.0   1           0         0.0       
138.0   1           0         0.0       

