DXZC	护型	次均高	次高>3%	今均涨幅	今涨率	样本
<=0	己	1.9087	21.2	1.6071	74.1	434682
<=0	丁	1.8917	20.9	-0.8850	36.5	2240276
<=0	丙	1.8513	19.7	-2.2875	13.7	253092
<=0	乙(ZA>0)	1.8395	19.6	1.2651	77.5	28493
<=0	戊(ZA>0)	1.8236	19.8	1.2591	70.5	758574
<=0	甲	1.8188	19.5	0.0661	46.8	209239
<=0	乙(ZA<=0)	1.8108	19.3	-1.2621	21.4	58728
<=0	戊(ZA<=0)	1.7969	18.9	-1.0358	30.0	1751027
>0	乙(ZA>0)	2.4420	29.5	1.3887	65.6	1700053
>0	甲	2.3380	27.2	1.1148	60.1	2066490
>0	己	2.2112	25.7	2.6462	84.2	211866
>0	乙(ZA<=0)	2.1579	25.1	-1.4114	25.7	716617
>0	戊(ZA>0)	2.1061	25.2	1.4987	74.7	46781
>0	丁	2.1024	24.8	0.1602	52.8	146617
>0	丙	2.1016	24.2	-1.6967	23.3	432586
>0	戊(ZA<=0)	1.9619	22.1	-1.4191	18.4	18621
