市板	DXZC	护型	DXZA	次日均涨幅	次日涨率	样本数
Qd	<=0	丁	<=0	-0.0380	51.3	361191
Qd	<=0	丙	<=0	-0.0336	50.2	40103
Qd	<=0	乙	<=0	0.0335	51.0	8561
Qd	<=0	乙	>0	0.1703	53.1	3676
Qd	<=0	己	>0	0.0525	48.1	72991
Qd	<=0	戊	<=0	0.0088	49.7	274376
Qd	<=0	戊	>0	-0.0008	48.1	122251
Qd	<=0	甲	>0	-0.0080	49.6	30802
Qd	>0	丁	<=0	0.0154	51.6	24988
Qd	>0	丙	<=0	0.0264	53.1	72152
Qd	>0	乙	<=0	0.0787	53.9	119338
Qd	>0	乙	>0	0.0863	54.1	355711
Qd	>0	己	>0	0.0623	51.4	41050
Qd	>0	戊	<=0	-0.0823	47.2	3403
Qd	>0	戊	>0	0.0364	50.8	8808
Qd	>0	甲	>0	0.0578	51.2	387013
Qe	<=0	丁	<=0	0.0071	48.9	263457
Qe	<=0	丙	<=0	0.0003	46.1	39686
Qe	<=0	乙	<=0	0.1015	47.0	6550
Qe	<=0	乙	>0	0.0023	36.8	4892
Qe	<=0	己	>0	0.0136	43.6	52336
Qe	<=0	戊	<=0	-0.0095	46.9	202902
Qe	<=0	戊	>0	0.0082	45.1	96356
Qe	<=0	甲	>0	0.0473	46.2	28041
Qe	>0	丁	<=0	-0.0032	49.0	19957
Qe	>0	丙	<=0	0.0932	51.1	58230
Qe	>0	乙	<=0	0.0328	48.8	86901
Qe	>0	乙	>0	0.0521	48.4	258495
Qe	>0	己	>0	-0.0305	42.8	29191
Qe	>0	戊	<=0	0.0236	46.6	2719
Qe	>0	戊	>0	-0.0321	43.4	8119
Qe	>0	甲	>0	0.0774	47.5	300068
Qic	<=0	丁	<=0	0.0131	48.7	389684
Qic	<=0	丙	<=0	0.0287	47.8	43625
Qic	<=0	乙	<=0	0.0790	47.9	9767
Qic	<=0	乙	>0	0.1638	47.6	4372
Qic	<=0	己	>0	0.1185	45.1	75448
Qic	<=0	戊	<=0	0.0023	46.9	308029
Qic	<=0	戊	>0	0.0655	45.3	130971
Qic	<=0	甲	>0	0.0913	46.3	34694
Qic	>0	丁	<=0	0.0657	48.3	27665
Qic	>0	丙	<=0	0.0802	49.8	78177
Qic	>0	乙	<=0	0.1369	49.2	128814
Qic	>0	乙	>0	0.1363	46.0	308876
Qic	>0	己	>0	0.1823	47.2	38373
Qic	>0	戊	<=0	-0.0120	46.0	3452
Qic	>0	戊	>0	0.0832	46.8	8798
Qic	>0	甲	>0	0.1301	45.5	369053
Qif	<=0	丁	<=0	0.0316	47.9	242491
Qif	<=0	丙	<=0	0.0387	46.7	27393
Qif	<=0	乙	<=0	0.0452	46.4	5885
Qif	<=0	乙	>0	0.1601	46.8	2598
Qif	<=0	己	>0	0.0668	44.0	45811
Qif	<=0	戊	<=0	0.0389	46.6	187524
Qif	<=0	戊	>0	0.0380	43.8	79749
Qif	<=0	甲	>0	0.0402	44.6	20667
Qif	>0	丁	<=0	0.0559	46.9	18481
Qif	>0	丙	<=0	0.1207	49.0	50587
Qif	>0	乙	<=0	0.1497	48.5	83093
Qif	>0	乙	>0	0.1359	45.2	198576
Qif	>0	己	>0	0.1127	45.5	25323
Qif	>0	戊	<=0	-0.1430	42.4	2399
Qif	>0	戊	>0	0.1034	45.7	5901
Qif	>0	甲	>0	0.1186	44.8	236579
Qim	<=0	丁	<=0	0.0020	49.3	704438
Qim	<=0	丙	<=0	0.0154	48.6	78340
Qim	<=0	乙	<=0	0.0728	49.2	18141
Qim	<=0	乙	>0	0.1866	49.0	8142
Qim	<=0	己	>0	0.1396	46.5	135879
Qim	<=0	戊	<=0	-0.0035	47.7	555069
Qim	<=0	戊	>0	0.0820	46.3	237379
Qim	<=0	甲	>0	0.1383	48.5	65197
Qim	>0	丁	<=0	0.0509	48.3	46666
Qim	>0	丙	<=0	0.0628	50.2	136459
Qim	>0	乙	<=0	0.1218	49.6	226516
Qim	>0	乙	>0	0.1289	46.4	538721
Qim	>0	己	>0	0.2192	48.0	67103
Qim	>0	戊	<=0	-0.0576	46.1	5918
Qim	>0	戊	>0	0.1147	47.3	14974
Qim	>0	甲	>0	0.1356	45.9	651226
Qin	<=0	丁	<=0	-0.0245	49.6	689991
Qin	<=0	丙	<=0	0.0476	50.3	79440
Qin	<=0	乙	<=0	0.1398	50.9	18605
Qin	<=0	乙	>0	0.2410	51.6	9979
Qin	<=0	己	>0	0.1777	48.2	135474
Qin	<=0	戊	<=0	-0.0405	47.9	538382
Qin	<=0	戊	>0	0.1303	48.1	236062
Qin	<=0	甲	>0	0.1104	49.1	66641
Qin	>0	丁	<=0	0.0520	49.2	43158
Qin	>0	丙	<=0	0.0215	50.5	130522
Qin	>0	乙	<=0	0.0650	49.8	215825
Qin	>0	乙	>0	0.1071	46.9	516431
Qin	>0	己	>0	0.1869	48.6	63826
Qin	>0	戊	<=0	-0.1086	45.2	5577
Qin	>0	戊	>0	0.1187	48.6	13906
Qin	>0	甲	>0	0.1103	46.4	629069
Qit	<=0	丁	<=0	-0.0046	50.3	1146154
Qit	<=0	丙	<=0	0.0718	50.5	131127
Qit	<=0	乙	<=0	0.1873	51.9	30820
Qit	<=0	乙	>0	0.2503	52.3	15979
Qit	<=0	己	>0	0.1921	48.2	223355
Qit	<=0	戊	<=0	-0.0187	48.4	887929
Qit	<=0	戊	>0	0.1192	48.0	390224
Qit	<=0	甲	>0	0.1374	49.5	109348
Qit	>0	丁	<=0	0.0403	49.0	72286
Qit	>0	丙	<=0	0.0513	50.7	217950
Qit	>0	乙	<=0	0.0970	50.1	361287
Qit	>0	乙	>0	0.0836	46.4	852456
Qit	>0	己	>0	0.2088	48.8	106390
Qit	>0	戊	<=0	-0.1163	45.5	9251
Qit	>0	戊	>0	0.1229	48.0	23009
Qit	>0	甲	>0	0.1147	46.2	1046211
Qst	<=0	丁	<=0	-0.0490	49.1	170961
Qst	<=0	丙	<=0	-0.0128	48.4	19439
Qst	<=0	乙	<=0	0.0443	49.0	4690
Qst	<=0	乙	>0	0.2894	50.2	2324
Qst	<=0	己	>0	0.1849	47.2	33577
Qst	<=0	戊	<=0	-0.0763	46.9	136154
Qst	<=0	戊	>0	0.1406	47.4	59115
Qst	<=0	甲	>0	0.0764	47.3	16738
Qst	>0	丁	<=0	0.0063	48.8	10709
Qst	>0	丙	<=0	-0.0131	49.6	31262
Qst	>0	乙	<=0	0.0782	49.7	51843
Qst	>0	乙	>0	0.1415	46.8	122892
Qst	>0	己	>0	0.1926	47.7	15278
Qst	>0	戊	<=0	-0.1784	44.5	1390
Qst	>0	戊	>0	0.0483	48.0	3415
Qst	>0	甲	>0	0.1292	46.0	153490
