市板	DXZC	护型	DXZA	当日均涨幅	当日涨率	样本数
Qd	<=0	丁	all	-0.5590	37.5	361553
Qd	<=0	丙	all	-1.3757	15.0	40128
Qd	<=0	乙	<=0	-0.7296	22.2	8562
Qd	<=0	乙	>0	0.7755	78.9	3676
Qd	<=0	己	all	0.9665	74.7	72995
Qd	<=0	戊	<=0	-0.6278	30.9	274389
Qd	<=0	戊	>0	0.7966	71.5	122268
Qd	<=0	甲	all	0.0526	47.4	30802
Qd	>0	丁	all	0.1750	56.6	24996
Qd	>0	丙	all	-0.9446	24.4	72167
Qd	>0	乙	<=0	-0.7608	27.1	119346
Qd	>0	乙	>0	0.6382	70.2	355758
Qd	>0	己	all	1.1932	84.0	41060
Qd	>0	戊	<=0	-0.6929	19.2	3404
Qd	>0	戊	>0	0.8760	75.6	8810
Qd	>0	甲	all	0.5054	64.0	387050
Qe	<=0	丁	all	-0.5189	34.0	264302
Qe	<=0	丙	all	-1.0077	13.8	39772
Qe	<=0	乙	<=0	-0.7049	19.2	6557
Qe	<=0	乙	>0	0.4918	60.8	4894
Qe	<=0	己	all	0.9067	72.1	52341
Qe	<=0	戊	<=0	-0.6344	27.8	202973
Qe	<=0	戊	>0	0.6976	66.4	96377
Qe	<=0	甲	all	0.0547	44.3	28047
Qe	>0	丁	all	0.1440	53.4	19983
Qe	>0	丙	all	-0.8655	22.7	58294
Qe	>0	乙	<=0	-0.7624	23.7	86941
Qe	>0	乙	>0	0.6107	65.2	258666
Qe	>0	己	all	1.1624	80.6	29204
Qe	>0	戊	<=0	-0.6860	16.1	2722
Qe	>0	戊	>0	0.6795	67.6	8129
Qe	>0	甲	all	0.5248	60.3	300195
Qic	<=0	丁	all	-0.8405	35.3	389935
Qic	<=0	丙	all	-2.1343	13.3	43643
Qic	<=0	乙	<=0	-1.2122	19.8	9771
Qic	<=0	乙	>0	1.2456	76.2	4372
Qic	<=0	己	all	1.5611	72.6	75461
Qic	<=0	戊	<=0	-0.9900	28.8	308072
Qic	<=0	戊	>0	1.2283	69.2	131006
Qic	<=0	甲	all	0.0421	44.0	34695
Qic	>0	丁	all	0.1321	51.2	27672
Qic	>0	丙	all	-1.6028	22.7	78192
Qic	>0	乙	<=0	-1.3305	25.2	128839
Qic	>0	乙	>0	1.3366	64.9	308911
Qic	>0	己	all	2.4922	83.6	38392
Qic	>0	戊	<=0	-1.3336	17.3	3453
Qic	>0	戊	>0	1.4437	74.1	8801
Qic	>0	甲	all	1.0407	59.2	369082
Qif	<=0	丁	all	-0.7683	34.2	242610
Qif	<=0	丙	all	-1.9379	12.7	27397
