市板	DXZC	护型	DXZA	次日均高	次高>3%	样本数
Qd	<=0	丁	all	0.9291	6.5	361191
Qd	<=0	丙	all	0.8270	4.1	40103
Qd	<=0	乙	<=0	0.8470	4.1	8561
Qd	<=0	乙	>0	0.8994	4.1	3676
Qd	<=0	己	all	0.8287	4.9	72991
Qd	<=0	戊	<=0	0.9368	5.9	274376
Qd	<=0	戊	>0	0.8485	5.4	122251
Qd	<=0	甲	all	0.8636	4.6	30802
Qd	>0	丁	all	0.8860	5.1	24988
Qd	>0	丙	all	0.9221	5.2	72152
Qd	>0	乙	<=0	0.9463	5.5	119338
Qd	>0	乙	>0	0.8981	4.9	355711
Qd	>0	己	all	0.7756	3.5	41050
Qd	>0	戊	<=0	0.8532	3.3	3403
Qd	>0	戊	>0	0.8147	4.0	8808
Qd	>0	甲	all	0.8851	4.8	387013
Qe	<=0	丁	all	0.9820	7.2	263457
Qe	<=0	丙	all	0.7932	4.4	39686
Qe	<=0	乙	<=0	0.8782	5.5	6550
Qe	<=0	乙	>0	0.6251	3.7	4892
Qe	<=0	己	all	0.8842	6.5	52336
Qe	<=0	戊	<=0	0.9962	7.3	202902
Qe	<=0	戊	>0	0.8590	6.0	96356
Qe	<=0	甲	all	0.8524	5.2	28041
Qe	>0	丁	all	0.9395	6.5	19957
Qe	>0	丙	all	1.0075	7.1	58230
Qe	>0	乙	<=0	0.9927	6.7	86901
Qe	>0	乙	>0	0.9920	7.1	258495
Qe	>0	己	all	0.7606	4.8	29191
Qe	>0	戊	<=0	0.9611	6.0	2719
Qe	>0	戊	>0	0.7699	4.5	8119
Qe	>0	甲	all	1.0167	7.5	300068
Qic	<=0	丁	all	1.8102	19.9	389684
Qic	<=0	丙	all	1.7428	18.5	43625
Qic	<=0	乙	<=0	1.7400	18.5	9767
Qic	<=0	乙	>0	1.7553	19.3	4372
Qic	<=0	己	all	1.8108	20.1	75448
Qic	<=0	戊	<=0	1.7185	18.0	308029
Qic	<=0	戊	>0	1.7316	19.0	130971
Qic	<=0	甲	all	1.7362	18.8	34694
Qic	>0	丁	all	2.0214	23.9	27665
Qic	>0	丙	all	2.0066	23.0	78177
Qic	>0	乙	<=0	2.0810	24.1	128814
Qic	>0	乙	>0	2.3793	29.0	308876
Qic	>0	己	all	2.0762	24.4	38373
Qic	>0	戊	<=0	1.9295	22.2	3452
Qic	>0	戊	>0	2.0273	24.9	8798
Qic	>0	甲	all	2.2223	25.9	369053
Qif	<=0	丁	all	1.6547	17.8	242491
Qif	<=0	丙	all	1.5707	16.0	27393
Qif	<=0	乙	<=0	1.5656	16.5	5885
Qif	<=0	乙	>0	1.6092	17.6	2598
Qif	<=0	己	all	1.6290	17.8	45811
Qif	<=0	戊	<=0	1.5925	16.6	187524
Qif	<=0	戊	>0	1.5731	17.0	79749
Qif	<=0	甲	all	1.5757	16.8	20667
Qif	>0	丁	all	1.8197	20.7	18481
Qif	>0	丙	all	1.8391	20.6	50587
Qif	>0	乙	<=0	1.8927	21.3	83093
