路径	第N天	总样本	保持目标护型	保持率	ZA转负	ZA转负率	DXZC>0	DXZC>0率
丁->己	第2天	97102	31240	32.2	12182	12.5	72620	74.8
丁->己	第3天	97061	8755	9.0	22362	23.0	69961	72.1
丁->己	第5天	96997	2698	2.8	35993	37.1	63847	65.8
丁->甲	第2天	45108	40089	88.9	5019	11.1	40012	88.7
丁->甲	第3天	45082	34988	77.6	9434	20.9	38052	84.4
丁->甲	第5天	45055	26367	58.5	15413	34.2	34606	76.8
丙->乙	第2天	153972	122627	79.6	44715	29.0	135105	87.7
丙->乙	第3天	153908	110097	71.5	53490	34.8	126204	82.0
丙->乙	第5天	153552	92137	60.0	64309	41.9	113334	73.8
乙->乙	第2天	2123130	1854831	87.4	673764	31.7	2031327	95.7
乙->乙	第3天	2122470	1685413	79.4	812088	38.3	1939565	91.4
乙->乙	第5天	2120957	1437123	67.8	976450	46.0	1768764	83.4
戊->己	第2天	322275	142248	44.1	33741	10.5	130559	40.5
戊->己	第3天	322260	48852	15.2	71817	22.3	146075	45.3
戊->己	第5天	322231	12289	3.8	121530	37.7	153055	47.5
戊->甲	第2天	40758	38327	94.0	2431	6.0	35077	86.1
戊->甲	第3天	40750	34163	83.8	6282	15.4	33521	82.3
戊->甲	第5天	40744	25055	61.5	13487	33.1	30145	74.0
