今日护型	次日护型	DXZC	次日涨幅	涨率	样本量
戊(ZA<=0)	甲	<=0	6.2328	100.0	12527
戊(ZA>0)	甲	<=0	5.2440	99.9	19256
丁	甲	<=0	5.1278	99.8	28081
戊(ZA<=0)	甲	>0	4.4526	100.0	2067
丁	己	<=0	4.2432	99.8	81211
戊(ZA<=0)	己	<=0	4.1820	100.0	82057
丁	甲	>0	4.0825	99.5	17090
戊(ZA>0)	甲	>0	3.9800	99.1	6925
丙	乙(ZA>0)	>0	3.8956	99.5	70960
丙	乙(ZA>0)	<=0	3.5677	99.7	37386
乙(ZA<=0)	乙(ZA>0)	>0	3.1620	98.6	214303
丁	己	>0	2.7652	98.1	16032
戊(ZA<=0)	己	>0	2.5673	100.0	2519
丁	戊(ZA>0)	<=0	2.5381	95.3	217945
乙(ZA<=0)	乙(ZA>0)	<=0	2.4968	98.7	21197
戊(ZA<=0)	戊(ZA>0)	<=0	2.3543	96.7	228451
戊(ZA>0)	己	<=0	2.2340	92.8	221337
丙	乙(ZA<=0)	>0	2.1706	98.2	36714
丙	乙(ZA<=0)	<=0	2.0314	98.4	9092
己	甲	<=0	1.9101	78.1	151343
戊(ZA>0)	己	>0	1.4668	84.8	16428
丁	戊(ZA>0)	>0	1.4377	85.5	9146
己	甲	>0	1.3676	67.4	131641
乙(ZA>0)	乙(ZA>0)	<=0	1.3053	73.2	19655
戊(ZA<=0)	戊(ZA>0)	>0	1.3027	96.1	1430
甲	甲	<=0	0.9764	64.5	156234
乙(ZA>0)	乙(ZA>0)	>0	0.9024	57.4	1365687
甲	甲	>0	0.7117	54.0	1747377
丙	丙	<=0	0.6297	63.7	54207
乙(ZA<=0)	乙(ZA<=0)	<=0	0.5391	69.2	9913
己	己	<=0	0.1580	47.2	182996
乙(ZA<=0)	乙(ZA<=0)	>0	0.1193	52.1	256518
戊(ZA>0)	戊(ZA>0)	<=0	0.0277	44.1	295536
丙	丙	>0	-0.1395	47.5	183508
丁	丁	<=0	-0.5439	41.6	1913039
戊(ZA>0)	戊(ZA>0)	>0	-0.5657	18.5	7325
己	己	>0	-0.5918	30.5	44194
戊(ZA<=0)	戊(ZA<=0)	<=0	-0.6842	36.7	1427992
丙	丁	<=0	-1.1424	29.2	152407
丁	丁	>0	-1.1514	29.5	104349
乙(ZA>0)	乙(ZA<=0)	<=0	-1.1813	1.4	2433
乙(ZA<=0)	丙	<=0	-1.3111	8.9	20426
甲	乙(ZA<=0)	<=0	-1.3187	6.6	12866
戊(ZA<=0)	戊(ZA<=0)	>0	-1.5067	20.3	12605
己	戊(ZA>0)	<=0	-1.7911	0.9	37829
己	戊(ZA>0)	>0	-2.0854	0.6	7919
乙(ZA>0)	丙	<=0	-2.1303	0.0	4021
丙	丁	>0	-2.1534	17.1	141404
戊(ZA>0)	戊(ZA<=0)	<=0	-2.3784	0.6	222445
乙(ZA<=0)	丙	>0	-2.3899	5.2	229015
甲	丙	<=0	-2.3905	0.7	22157
戊(ZA>0)	戊(ZA<=0)	>0	-2.6230	0.6	16103
甲	乙(ZA<=0)	>0	-2.6655	2.8	213944
乙(ZA>0)	乙(ZA<=0)	>0	-2.6895	2.0	234096
己	戊(ZA<=0)	<=0	-2.8702	0.2	62514
甲	丁	<=0	-3.0809	0.1	17982
乙(ZA<=0)	丁	<=0	-3.2844	0.2	7192
己	戊(ZA<=0)	>0	-3.3239	0.1	28112
乙(ZA>0)	丁	<=0	-3.3471	0.0	2384
甲	丙	>0	-3.8429	0.1	82813
乙(ZA>0)	丙	>0	-4.0942	0.0	89817
甲	丁	>0	-4.4207	0.1	22356
乙(ZA<=0)	丁	>0	-4.8050	0.0	16781
乙(ZA>0)	丁	>0	-5.0077	0.0	10453
