ZC区间	护型	今均涨幅	今涨率	样本
ZC<=-10	己	1.6198	74.1	384547
ZC<=-10	甲	0.4190	54.0	161919
ZC<=-10	乙(ZA>0)	1.3654	79.7	13304
ZC<=-10	乙(ZA<=0)	-1.2163	16.8	10429
ZC<=-10	戊(ZA>0)	1.1871	68.8	595091
ZC<=-10	戊(ZA<=0)	-0.9742	30.7	1449436
ZC<=-10	丁	-0.6801	38.0	599582
ZC<=-10	丙	-1.8560	11.3	21060
-10<ZC<=-5	己	1.9114	81.3	39176
-10<ZC<=-5	甲	0.6350	59.4	3770
-10<ZC<=-5	乙(ZA>0)	0.9453	71.1	3318
-10<ZC<=-5	乙(ZA<=0)	-0.4138	32.1	1341
-10<ZC<=-5	戊(ZA>0)	1.5572	77.6	144607
-10<ZC<=-5	戊(ZA<=0)	-1.1230	28.4	165717
-10<ZC<=-5	丁	-0.5886	40.7	725676
-10<ZC<=-5	丙	-1.0317	19.3	3338
-5<ZC<=-2	己	2.2813	89.1	5758
-5<ZC<=-2	甲	0.5976	62.2	12740
-5<ZC<=-2	乙(ZA>0)	1.6577	88.1	10373
-5<ZC<=-2	乙(ZA<=0)	0.3338	54.6	17573
-5<ZC<=-2	戊(ZA>0)	2.3700	90.4	14475
-5<ZC<=-2	戊(ZA<=0)	-0.9224	33.3	96771
-5<ZC<=-2	丁	-0.7253	39.2	739417
-5<ZC<=-2	丙	-0.3900	38.7	69960
-2<ZC<=-1	己	-2.2899	0.2	5277
-2<ZC<=-1	甲	-2.0757	1.0	30825
-2<ZC<=-1	乙(ZA>0)	-1.5901	0.9	1519
-2<ZC<=-1	乙(ZA<=0)	-2.2698	2.7	29418
-2<ZC<=-1	戊(ZA>0)	-2.2429	0.4	4598
-2<ZC<=-1	戊(ZA<=0)	-3.2211	0.7	39221
-2<ZC<=-1	丁	-3.4486	3.0	176998
-2<ZC<=-1	丙	-3.2054	3.0	158873
1<=ZC<2	己	3.6218	96.3	138120
1<=ZC<2	甲	3.6887	95.3	192463
1<=ZC<2	乙(ZA>0)	3.3852	98.5	51243
1<=ZC<2	乙(ZA<=0)	2.2872	99.0	4961
1<=ZC<2	戊(ZA>0)	2.5614	95.3	25588
1<=ZC<2	戊(ZA<=0)	1.8580	98.6	1027
1<=ZC<2	丁	2.4583	97.9	28329
1<=ZC<2	丙	2.4234	99.4	6453
2<=ZC<5	己	0.4987	56.1	59515
2<=ZC<5	甲	0.8679	56.7	740899
2<=ZC<5	乙(ZA>0)	0.9452	61.4	126570
2<=ZC<5	乙(ZA<=0)	-2.3421	6.6	17820
2<=ZC<5	戊(ZA>0)	-0.2997	37.1	14324
2<=ZC<5	戊(ZA<=0)	-1.8360	8.1	8350
2<=ZC<5	丁	-0.6706	27.4	11450
2<=ZC<5	丙	-2.2566	7.8	7629
5<=ZC<10	己	1.2705	77.9	2224
5<=ZC<10	甲	0.7253	55.0	675141
5<=ZC<10	乙(ZA>0)	1.3161	66.9	206422
5<=ZC<10	乙(ZA<=0)	-1.5810	19.4	166729
5<=ZC<10	戊(ZA>0)	0.3238	57.4	906
5<=ZC<10	戊(ZA<=0)	-0.9054	24.9	2440
5<=ZC<10	丁	-0.5403	37.7	3471
5<=ZC<10	丙	-1.9372	16.4	49645
ZC>=10	己	2.3296	86.8	12157
ZC>=10	甲	1.0072	58.2	458235
ZC>=10	乙(ZA>0)	1.3655	64.5	1316439
ZC>=10	乙(ZA<=0)	-1.3607	27.7	527305
ZC>=10	戊(ZA>0)	1.4462	79.1	5992
ZC>=10	戊(ZA<=0)	-1.5856	16.5	6809
ZC>=10	丁	-0.3529	43.8	103424
ZC>=10	丙	-1.7242	23.2	369006
