核心池文件: 4906

=== Q1: 等3 层主 vs BT鼎 精确值 ===
条件                   样本      下日≥1%      下日≥2%      下日≥3%
-------------------------------------------------------
等3_层主           232,242      65.0%      47.1%      35.2%
等3_BT鼎          441,926      64.6%      45.6%      33.3%

=== Q3: 等2 拆分 DTZA=2~3 vs ≥4 赛马（H2排序） ===
策略                                 样本        ≥2%        ≥3%
------------------------------------------------------------
等2_TZA4P_偏5门                    3,741      56.7%      44.8%
等2_TZA4P_偏5连门                   2,993      56.3%      44.8%
等2_TZA2_3_偏5门                  10,102      56.2%      44.4%
等2_TZA4P_偏5                     4,551      56.1%      44.6%
等2_TZA2_3_偏5连门                  8,636      56.0%      44.3%
等2_TZA4P_偏5连                    3,739      55.8%      44.6%
等2_TZA2_3_偏5                   11,925      55.7%      44.2%
等2_TZA2_3_偏5连                  10,365      55.5%      44.0%
等2_TZA4P_连                      7,582      49.3%      36.9%
等2_TZA2_3_连                    19,896      49.0%      36.3%
等2_TZA2_3_门                    28,267      47.4%      34.3%
等2_TZA2_3                      32,212      47.0%      34.1%
等2_TZA4P_门                     12,020      46.8%      33.6%
等2_TZA4P                       13,974      46.5%      33.4%
