--- DXZC>0 ---
| 护型 | 均涨幅 | 标准差(样本) | 涨率 | 夏普 | 均次日高 |
| 己 | +2.65% | 3.06 | 84.2% | 86.54 | 2.21% | n=212,016
| 甲 | +1.11% | 4.35 | 60.1% | 25.65 | 2.34% | n=2,066,738
| 戊 | +0.67% | 2.57 | 58.7% | 26.06 | 2.06% | n=65,436
| 乙 | +0.56% | 3.39 | 53.8% | 16.49 | 2.36% | n=2,417,489
| 丁 | +0.16% | 2.35 | 52.8% | 6.84 | 2.10% | n=146,674
| 丙 | -1.70% | 2.68 | 23.3% | -63.38 | 2.10% | n=432,733
--- DXZC≤0 ---
| 护型 | 均涨幅 | 标准差(样本) | 涨率 | 夏普 | 均次日高 |
| 己 | +1.61% | 2.57 | 74.1% | 62.60 | 1.91% | n=434,758
| 甲 | +0.07% | 1.99 | 46.8% | 3.33 | 1.82% | n=209,254
| 戊 | -0.34% | 2.65 | 42.2% | -12.91 | 1.80% | n=2,509,916
| 乙 | -0.44% | 2.34 | 39.8% | -18.61 | 1.82% | n=87,275
| 丁 | -0.88% | 2.84 | 36.5% | -31.12 | 1.89% | n=2,241,673
| 丙 | -2.29% | 2.65 | 13.8% | -86.42 | 1.85% | n=253,231
