共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
入管后逐日P3 + 仍为甲乙己比例（折中方案）
======================================================================
入管后第k天              样本       P3%     仍甲乙己%
1              3623727     20.73     87.47
2              3623727     20.51     81.76
3              3623045     20.57     75.39
4              3622168     20.53     70.42
5              3621459     20.61     66.56
6              3620690     20.90     63.64
7              3619845     21.05     61.54
8              3618699     20.91     60.05
9              3616605     20.84     58.79
10             3613550     20.71     57.70
