共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
首升连+涨幅≥2% 三维交叉
======================================================================
组合                                  样本     5天≥3%
护型b×BSHA≥5                      133898    100.00
触顶=True×BSHA≥5                  239242    100.00
护型a×BSHA≥5                      139486    100.00
护型r×BSHA≥5                       24751    100.00
触顶=False×BSHA≥5                  58893     99.99
触顶=True×等3                      226015     94.94
触顶=True×等1                       48775     94.85
触顶=False×等3                      48485     94.21
触顶=True×等2                       77368     93.21
触顶=False×BSHA2-5                128688     92.72
护型r×BSHA2-5                      35732     91.84
触顶=False×等2                      31587     91.17
护型b×BSHA2-5                     119428     90.31
触顶=False×等1                     126975     87.80
护型a×BSHA2-5                      84313     85.55
触顶=True×BSHA2-5                 110785     84.39
护型b×BSHA<2                       19400     54.09
触顶=False×BSHA<2                  25594     51.54
护型r×BSHA<2                        5137     38.12
护型a×BSHA<2                        3195     30.61
触顶=True×BSHA<2                    2138     11.18
