共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
垒升 vs 平移 柱排分析（甲乙DXZA>0己，DXZC>0，精确a龙）
======================================================================
类别                        样本     5天≥3%     5天≥5%
升吞_触顶=True            274531     76.00     50.27
升连_触顶=True           2014713     74.16     49.39
升反孕                   988215     73.29     46.13
连阳                   3405812     70.04     43.25
a龙跌孕                    3052     69.27     41.71
升吞_触顶=False           255345     69.16     40.52
基线(甲乙己ZC>0)          8723708     68.86     42.09
首上破DJA                786838     68.57     39.14
跌连                    989992     67.19     41.72
阳阴阳                  2060691     66.97     40.00
升连_触顶=False          1391099     64.08     34.36
跌吞                    144738     59.15     32.79
跌反孕                   260724     57.69     30.57
