共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
垒升深化验证（甲乙DXZA>0己，DXZC>0）
======================================================================
类别                            样本     5天≥3%     5天≥5%
鼎(BT鼎>0)                 2560673     83.07     56.84
升吞_触顶=True                274531     76.00     50.27
升连_触顶=True               2014713     74.16     49.39
升反孕                       988215     73.29     46.13
跌连后升吞                      18398     72.75     42.98
连阳                       3405812     70.04     43.25
跌连后升连                     149558     69.90     40.05
龙a跌孕_前非升排                   3052     69.27     41.71
升吞_触顶=False               255345     69.16     40.52
基线(甲乙己ZC>0)              8723708     68.86     42.09
首上破DJA                    786838     68.57     39.14
帐篷(龙a跌孕+阳柱)                 2626     68.28     40.78
跌连后阳阴阳                    370451     68.14     41.60
跌连                        989992     67.19     41.72
阳阴阳                      2060691     66.97     40.00
升连_触顶=False              1391099     64.08     34.36
跌连后启动                     436985     62.79     35.22
跌吞                        144738     59.15     32.79
跌反孕                       260724     57.69     30.57
