高波池文件: 3451

【C6文档5.3.3位置决策表验证（H2=下日高≥2%）】
位置                            n  H2(≥2%)   C6文档H2     C6样本
------------------------------------------------------------
等1+ZC>0+甲                54,776   45.76%        ?        ?
等2+ZC>0+乙               346,936   43.30%        ?        ?
等3+ZC>0+甲             1,578,696   39.50%        ?        ?
等5+ZC>0+乙               421,342   39.66%        ?        ?
等6+ZC>0+乙                92,316   39.63%        ?        ?
等2+ZC>0+己                27,994   39.52%        ?        ?
等6+ZC>0+丁                44,646   38.20%        ?        ?
等5+ZC>0+丙               103,369   37.22%        ?        ?
等1+ZC<0+甲                 8,569   36.74%        ?        ?
等3+ZC>0+己                99,321   36.37%        ?        ?
等6+ZC<0+戊               290,816   30.81%        ?        ?
等3+ZC<0+戊               218,272   29.91%        ?        ?
等5+ZC<0+丁                46,433   32.41%        ?        ?
等5+ZC<0+戊               316,636   30.54%        ?        ?
等6+ZC<0+丁               377,543   31.83%        ?        ?
等6+ZC<0+丙                29,974   32.01%        ?        ?
等3+ZC<0+甲               137,368   31.82%        ?        ?

