波型: 0橅.Aa龙猪.初 | 柱型周: .44枝贯连待X | 层界周: 初Aa顶 | 层类周: AI1
波型: 9妩.__Aa龙猪._初 | 柱型周: .55根贯单待A | 层界周: _初Ab〇 | 层类周: _AI1
波型: 0橅.Aa龙猪.初 | 柱型周: .44枝贯单待A | 层界周: 初Aa顶 | 层类周: AI1
波型: 0橅.Aa龙猪.初 | 柱型周: .41枝启升冲 | 层界周: 初Aa顶 | 层类周: AI2
波型: 0橅.Aa龙猪.初 | 柱型周: .42枝启踩警 | 层界周: 初Ab〇 | 层类周: AI3
波型: 0橅.Aa龙猪.初 | 柱型周: .04梯交调待vO | 层界周: 初Ab〇 | 层类周: AI4
波型: 0橅.Fa震正〇.主 | 柱型周: .05梯交跌警vOv | 层界周: 主Gc〇 | 层类周: GZ05
波型: 8姖.__Df头负._破 | 柱型周: .55根贯连待X | 层界周: _破局4v | 层类周: _AI1
波型: 8姖.Fe震正根.破 | 柱型周: .52根启踩警 | 层界周: 破局3v | 层类周: Be-2
波型: 2栅.Dd头正芽.再B | 柱型周: .44枝贯连待X | 层界周: 再Bd芽 | 层类周: BI1
波型: 2栅.Bc龙管栅.再B | 柱型周: .41枝启升冲 | 层界周: 再Ba顶 | 层类周: BI2
波型: 0橅.Aa龙猪.再B | 柱型周: .42枝启踩警 | 层界周: 再Bb〇 | 层类周: BI3
波型: 0橅.Aa龙猪.再B | 柱型周: .03梯升调待Qvo | 层界周: 再Bb〇 | 层类周: BI4
波型: 7姗.Fe震正根.再B | 柱型周: .55根贯单待A | 层界周: 再Be根 | 层类周: Be-1
波型: 9妩.__Df头负._破 | 柱型周: .51根启跌冲 | 层界周: _破局4v | 层类周: _AI2
波型: 9妩.__Fa震正〇._破 | 柱型周: .52根启踩警 | 层界周: _破局4w | 层类周: _AI3
波型: 7姗.Ff震负.破 | 柱型周: .99线下四 | 层界周: 破局3w | 层类周: Ce-4
波型: 7姗.__Fa震正〇._破 | 柱型周: .99线下四 | 层界周: _破局4w | 层类周: _AZ05
波型: 7姗.__Bd龙管杂._初 | 柱型周: .99线下四 | 层界周: _初Aa底 | 层类周: _AZ06
波型: 7姗.__Bd龙管杂._初 | 柱型周: .99线下四 | 层界周: _初Aa底 | 层类周: _AZ07
