共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
首升连+涨幅≥2% × 日等型 × 护型
======================================================================
组合                          样本     5天≥3%
护型b×等3                  116993     95.23
护型a×等3                  144786     94.57
护型r×等3                   12721     93.76
护型b×等2                   49384     92.87
护型a×等2                   53180     92.49
护型r×等2                    6391     91.69
护型a×等1                   29028     91.24
护型r×等1                   46508     89.74
护型b×等1                  100214     89.33
护型b×等6                    5145     88.18
