共 7455 个文件
  已处理 2000/7455
  已处理 4000/7455
  已处理 6000/7455

======================================================================
首升连+涨幅≥2% 介入策略回测（持有N天）
======================================================================
持有期           交易次数      平均收益        胜率      累计收益
2日          511826      1.06%     52.68% 540247.91%
3日          480115      1.88%     57.55% 903128.56%
5日          418501      3.65%     64.51%1527754.41%

======================================================================
按年份（持有3日）
======================================================================
年份            交易次数      平均收益        胜率
1990             4     11.53%     75.00%
1991            11      5.46%     27.27%
1992           187      2.15%     53.48%
1993           532      3.59%     59.59%
1994          1034      5.03%     52.13%
1995          1214      0.45%     43.00%
1996          2998      2.63%     56.17%
1997          3918      1.46%     53.04%
1998          4418      1.19%     52.31%
1999          5181      1.40%     52.46%
2000          6581      1.68%     54.03%
2001          2656      0.69%     53.99%
2002          3646      2.63%     60.92%
2003          4561      0.71%     51.68%
2004          5435      1.91%     58.99%
2005          5950      1.10%     52.55%
2006         10413      2.10%     58.63%
2007         16513      3.28%     68.60%
2008          7817      1.36%     53.82%
2009         17879      2.33%     64.52%
2010         13452      1.64%     61.65%
2011          7752      0.94%     53.78%
2012         11106      1.12%     56.30%
2013         17714      1.46%     55.61%
2014         17363      1.82%     58.88%
2015         30195      3.36%     66.15%
2016         16821      1.83%     58.95%
2017         12852      2.14%     55.63%
2018         14284      1.17%     52.48%
2019         25768      1.67%     58.46%
2020         28286      2.10%     57.95%
2021         30402      1.68%     55.62%
2022         26511      1.50%     54.26%
2023         25779      1.15%     50.87%
2024         35645      2.51%     59.11%
2025         39208      1.55%     55.93%
2026         26029      1.90%     56.69%
