  2000/7460
  4000/7460
  6000/7460
甲总数=4193607, 甲转乙(DXZA<0)=408972, 转乙率=9.75%

== 日柱排: 甲转乙分布 vs 甲总体分布 (转乙率=转乙/甲总体) ==
值                       甲总体      甲转乙     转乙率%
(升)人.连后吞QV           348603    63398    18.19
跌.尾连vW.W2            228323    49565    21.71
升.尾反孕Qv              498713    43467     8.72
跌.尾连VW.W2             68002    20078    29.53
(升)人.连后吞QVo           94040    17888    19.02
升.尾连oQ.Q2            196806    15888     8.07
升.尾连OQ.Q2            404287    14941     3.70
升.尾吞vO               297168    14922     5.02
(人)人.吞吞* VO          172285    14843     8.62
(跌)人.连后吞WO           144724    14746    10.19
升.尾连QQ.Q3            430978    14742     3.42
(升)人.孕孕vo            112874    13234    11.72

== 顶型: 甲转乙分布 vs 甲总体分布 (转乙率=转乙/甲总体) ==
值                       甲总体      甲转乙     转乙率%
上a                  1991886   218204    10.95
无                   1568521   139132     8.87
忐a                   536264    44951     8.38
忠a                    57051     4457     7.81
忑a                    25461     1559     6.12
中a                    10002      451     4.51
下a                     4422      218     4.93

== 日等型: 甲转乙分布 vs 甲总体分布 (转乙率=转乙/甲总体) ==
值                       甲总体      甲转乙     转乙率%
0                   1608406   141360     8.79
5                    236122    29847    12.64
4                    276411    26511     9.59
6                    193709    26494    13.68
7                    158256    23369    14.77
8                    128407    20015    15.59
3                    303925    18000     5.92
9                    104104    16406    15.76
10                    84590    13767    16.27
11                    68311    10907    15.97
2                    299984     9683     3.23
12                    55785     9110    16.33

== 地型: 甲转乙分布 vs 甲总体分布 (转乙率=转乙/甲总体) ==
值                       甲总体      甲转乙     转乙率%
1柜                  1060662   133719    12.61
2栅                   887557   124183    13.99
0橅                  2050506   113625     5.54
3桮                   194882    37445    19.21

== 盈提示: 甲转乙分布 vs 甲总体分布 (转乙率=转乙/甲总体) ==
值                       甲总体      甲转乙     转乙率%
                    1748387   273038    15.62
a                    654432    49547     7.57
偏                     70755     9373    13.25
宽                     29003     8642    29.80
雀                    110077     7120     6.47
a高                   217796     6856     3.15
a偏                    95009     6755     7.11
a连3                  166220     5346     3.22
连3                    69243     5325     7.69
宽偏                    33954     5247    15.45
高                     37038     4197    11.33
a连4                  117699     3104     2.64
