  2000/7460
  4000/7460
  6000/7460
key	n	P3	mean
AB_丁	4298041	18.85	1.75
AB_丙	1250998	19.53	1.81
AB_乙n	1395124	21.44	1.93
AB_乙p	3238663	24.75	2.14
AB_己	1177570	19.76	1.80
AB_戊n	3178380	17.17	1.67
AB_戊p	1459580	17.90	1.68
AB_甲	4193607	22.67	2.04
BASE	20191963	20.53	1.87
CD_上	6700189	24.87	2.15
CD_下	1753115	19.18	1.77
CD_中	1258201	20.05	1.82
CD_忐	1702371	21.27	1.95
CD_忑	7322464	17.29	1.66
CD_忠	1455623	18.06	1.74
ZC_neg	10333780	17.94	1.70
ZC_pos	9858183	23.24	2.05
ZE_neg	10552140	17.63	1.69
ZE_pos	9639823	23.71	2.07
