### 5.3 快速决策表

#### WXZC>0时

| 护型 | 操作 | 转坏概率 | 持有期<br>中位数 | 下周<br>均HR
|:----|:----|:------:|:---------|:--------------:|:----------:
| **甲** | **持有** | 84.1% | →乙10.4%/→丙4.3% | 5周 | 4.88%
| **乙(ZA>0)** | **持有** |**80.0%**| →乙(ZA≤0)13.5%/→丙5.8% | 3周 | 4.73%
| **乙(ZA≤0)** | **减仓/退出** | 33.4% |**→丙36.3%**| 3周 | 4.26%
| **己** | **试仓** | 22.4% | →戊17.1% | 1周 | 5.11%
| **丙** | **退出观望** | 46.0% | →丁32.2% |**1周**| 4.19%
| **丁** | **被动持仓** | 70.4% | →戊6.9% | 5周 |**4.58%**
| **戊(ZA>0)** | **试仓** | 16.3% | →戊(ZA≤0)32.0% | 3周 | 4.91%
| **戊(ZA≤0)** | **回避** | 62.8% | →戊(ZA>0)7.4% | 3周 | 4.30%

#### WXZC≤0时

| 护型 | 操作 | 转坏概率 | 持有期<br>中位数 | 下周<br>均HR
|:----|:----|:------:|:---------|:--------------:|:----------:
| **己** | **试仓** | 41.9% | →戊24.8% | 1周 | 5.11%
| **甲** | **试仓** | 70.7% | →丙11.8%/→丁11.0% | 5周 | 4.88%
| **乙(ZA>0)** | **试仓** |**72.7%**| →丙16.0%/→丁11.3% | 3周 | 4.73%
| **乙(ZA≤0)** | **空仓等待** | 47.5% |**→丙38.6%/→丁13.8%**| 3周 | 4.26%
| **丙** | **空仓等待** | 20.2% | →丁64.9% |**1周**| 4.19%
| **丁** | **空仓等待** | 85.0% | →戊10.2% | 5周 |**4.58%**
| **戊(ZA>0)** | **空仓等待** | 65.3% | →戊(ZA≤0)27.8% | 3周 | 4.91%
| **戊(ZA≤0)** | **空仓等待** | 94.3% | →戊(ZA>0)12.7% | 3周 | 4.30%
