**甲（总样本 499,319）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →甲 | 326,563 | 65.4% | +2.49% | 59.3% | 维持正交，稳定 |
| →乙(ZA≤0) | 45,196 | 9.1% | -4.87% | 11.5% | 甲→乙(ZA≤0)是诱多/转弱 |
| →丁 | 38,234 | 7.7% | -2.11% | 37.3% | 甲→丁是转弱 |
| →丙 | 30,013 | 6.0% | -5.48% | 11.0% | 甲→丙是强烈下跌信号 |
| →己 | 21,764 | 4.4% | +5.88% | 84.4% | 甲→己是转强 |
| →乙(ZA>0) | 16,147 | 3.2% | +4.33% | 76.6% | 正交延续（降级为乙，ZA仍>0） |
| →戊(ZA>0) | 11,763 | 2.4% | +3.47% | 78.7% | 甲→戊(ZA>0)转强 |
| →戊(ZA≤0) | 9,639 | 1.9% | -2.64% | 35.5% | 甲→戊(ZA≤0)转弱 |

**乙(ZA>0)（总样本 309,622）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →乙(ZA>0) | 206,068 | 66.6% | +2.72% | 62.8% | 维持正交，稳定 |
| →乙(ZA≤0) | 44,377 | 14.3% | -4.30% | 15.6% | ZA转负，转弱 |
| →丙 | 26,103 | 8.4% | -5.37% | 15.2% | 乙(ZA>0)→丙是转弱信号 |
| →丁 | 16,034 | 5.2% | -2.05% | 36.8% | 乙(ZA>0)→丁转弱 |
| →甲 | 11,730 | 3.8% | +2.20% | 58.1% | 升级转甲 |
| →戊(ZA≤0) | 2,151 | 0.7% | -4.54% | 30.5% | 转弱 |
| →己 | 1,649 | 0.5% | +5.23% | 84.2% | 转强 |
| →戊(ZA>0) | 1,510 | 0.5% | +4.27% | 81.0% | 转强 |

**乙(ZA≤0)（总样本 148,336）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →乙(ZA>0) | 44,722 | 30.1% | +4.97% | 81.8% | 重新站上WJA，转正 |
| →丙 | 32,679 | 22.0% | -4.58% | 9.1% | 乙(ZA≤0)→丙是转坏（死亡螺旋起点） |
| →乙(ZA≤0) | 30,096 | 20.3% | -0.53% | 46.4% | 维持脆弱平衡 |
| →甲 | 21,489 | 14.5% | +3.01% | 64.2% | 升级转甲 |
| →丁 | 14,900 | 10.0% | -2.21% | 34.7% | 乙(ZA≤0)→丁继续恶化 |
| →己 | 2,116 | 1.4% | +5.68% | 85.5% | 转强 |
| →戊(ZA≤0) | 1,297 | 0.9% | -3.38% | 31.1% | 转弱 |
| →戊(ZA>0) | 1,037 | 0.7% | +4.07% | 79.3% | 转强 |

**丙（总样本 151,428）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →丁 | 53,348 | 35.2% | -2.22% | 30.7% | 丙→丁继续恶化 |
| →丙 | 30,100 | 19.9% | -0.72% | 44.1% | 维持死亡螺旋 |
| →乙(ZA>0) | 27,455 | 18.1% | +4.52% | 77.0% | 丙→乙(ZA>0)反转成功（正交） |
| →甲 | 19,849 | 13.1% | +2.05% | 60.5% | 丙→甲反转 |
| →乙(ZA≤0) | 12,720 | 8.4% | -0.65% | 47.9% | 丙→乙(ZA≤0)弱反转（仍负交） |
| →己 | 3,829 | 2.5% | +5.43% | 85.4% | 转强 |
| →戊(ZA>0) | 2,166 | 1.4% | +3.86% | 79.7% | 转强 |
| →戊(ZA≤0) | 1,961 | 1.3% | -2.84% | 30.4% | 转弱 |

**丁（总样本 531,760）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →丁 | 354,517 | 66.7% | -1.34% | 37.5% | 维持死水 |
| →戊(ZA>0) | 46,514 | 8.7% | +4.14% | 82.7% | 丁→戊(ZA>0)筑底完成 |
| →甲 | 36,168 | 6.8% | +3.15% | 61.7% | 丁→甲底部反转 |
| →己 | 28,962 | 5.4% | +5.77% | 84.3% | 丁→己强势反转 |
| →丙 | 24,585 | 4.6% | -5.13% | 17.8% | 丁→丙恶化 |
| →戊(ZA≤0) | 19,824 | 3.7% | -2.97% | 23.6% | 转弱 |
| →乙(ZA≤0) | 11,423 | 2.1% | -2.99% | 24.2% | 转弱 |
| →乙(ZA>0) | 9,767 | 1.8% | +2.64% | 68.1% | 转强 |

**戊(ZA>0)（总样本 172,724）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →戊(ZA≤0) | 56,304 | 32.6% | -3.14% | 20.8% | 戊(ZA>0)→戊(ZA≤0)转弱 |
| →戊(ZA>0) | 39,930 | 23.1% | +0.78% | 53.4% | 维持 |
| →己 | 33,022 | 19.1% | +4.34% | 88.6% | 戊(ZA>0)→己转强 |
| →丁 | 21,232 | 12.3% | -0.34% | 47.3% | 转弱 |
| →甲 | 17,811 | 10.3% | +3.81% | 67.3% | 戊(ZA>0)→甲反转 |
| →丙 | 2,100 | 1.2% | -5.74% | 15.0% | 恶化 |
| →乙(ZA>0) | 1,244 | 0.7% | +5.32% | 79.3% | 转强 |
| →乙(ZA≤0) | 1,081 | 0.6% | -4.11% | 15.2% | 转弱 |

**戊(ZA≤0)（总样本 376,196）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →戊(ZA≤0) | 255,478 | 67.9% | -1.75% | 33.7% | 维持死水 |
| →戊(ZA>0) | 55,553 | 14.8% | +3.64% | 80.8% | 戊(ZA≤0)→戊(ZA>0)转正 |
| →己 | 29,333 | 7.8% | +5.26% | 81.8% | 戊(ZA≤0)→己转强 |
| →甲 | 15,243 | 4.1% | +3.77% | 64.4% | 戊(ZA≤0)→甲反转 |
| →丁 | 15,232 | 4.0% | -0.09% | 50.9% | 转弱 |
| →丙 | 2,227 | 0.6% | -4.54% | 21.5% | 恶化 |
| →乙(ZA>0) | 1,924 | 0.5% | +4.40% | 75.3% | 转强 |
| →乙(ZA≤0) | 1,206 | 0.3% | -2.64% | 28.4% | 转弱 |

**己（总样本 148,373）：**
| →护型 | 样本 | 转移概率 | 下周均涨幅 | 下周涨率 | 含义 |
|:-----|:----:|:--------:|:---------:|:--------:|:-----|
| →甲 | 49,599 | 33.4% | +3.29% | 69.1% | 己→甲转正交成功 |
| →戊(ZA≤0) | 29,507 | 19.9% | -3.31% | 25.2% | 己→戊(ZA≤0)转弱 |
| →己 | 27,994 | 18.9% | +0.50% | 49.8% | 维持己，横盘 |
| →丁 | 18,086 | 12.2% | -0.39% | 46.5% | 转弱 |
| →戊(ZA>0) | 15,393 | 10.4% | +1.22% | 54.2% | 己→戊(ZA>0)转弱 |
| →丙 | 3,500 | 2.4% | -4.98% | 14.7% | 恶化 |
| →乙(ZA>0) | 2,173 | 1.5% | +4.48% | 77.0% | 转强 |
| →乙(ZA≤0) | 2,121 | 1.4% | -3.71% | 16.6% | 转弱 |

