| 护型 | 操作 | 维持率 | 转坏概率 | 持有期<br>中位数 | 下周<br>均HR | 下周<br>HR≥3% | 理据 |
|:----|:--------:|:------------:|:--------:|:------------:|:--------:|:----|
| **己** | **试仓** | 41.9% | →戊24.8% | 1周 | 5.11% | 55.3% | 33.3%→甲，转甲则持有 |
| **甲** | **试仓** | 70.7% | →丙11.8%/→丁11.0% | 5周 | 4.88% | 53.7% | 维持率高，可试仓 |
| **乙(ZA>0)** | **试仓** | 72.7% | →丙16.0%/→丁11.3% | 3周 | 4.73% | 52.2% | 维持率较高，可试仓 |
| **乙(ZA≤0)** | **空仓等待** | 47.5% | →丙38.6%/→丁13.8% | 3周 | 4.26% | 47.9% | 维持率低，转坏概率高 |
| **丙** | **空仓等待** | 20.2% | →丁64.9% | 1周 | 4.19% | 48.1% | 维持率极低，死亡螺旋 |
| **丁** | **空仓等待** | 85.0% | →戊10.2% | 5周 | 4.58% | 51.2% | 维持率高但死水，下周HR≥3%仅51% |
| **戊(ZA>0)** | **空仓等待** | 65.3% | →戊(ZA≤0)27.8% | 3周 | 4.91% | 54.7% | 下周HR≥3%仅55%，不可持续 |
| **戊(ZA≤0)** | **空仓等待** | 94.3% | →戊(ZA>0)12.7% | 3周 | 4.30% | 48.2% | 维持率极高但死水，下周HR≥3%仅48% |

**决策逻辑：** WXZC≤0时，即使最好的己，本周HR≥3%=74.5%但下周骤降至55.3%，说明本周冲高不可持续。其他护型本周HR≥3%已低于56%，更无介入价值。**�
