2.6.1.1 场景一：WXZC≤0（不建议介入）

WXZC≤0时，仅己的HR较好（本周均HR=7.17%/HR≥3%=74.5%），但下周HR≥3%骤降至55.3%——本周冲高后下周不可持续。其他护型本周HR≥3%<56%，下周HR≥3%<55%，本周冲高概率低且下周也不可持续。

| 护型 | 本周均HR | 本周HR≥3% | 下周均HR | 下周HR≥3% | 本周涨率 | 操作 |
|:----|:--------:|:------------:|:--------:|:------------:|:--------:|:----|
| **己** | 7.17% | 74.5% | 5.11% | 55.3% | 75.0% | ⚠️ 可试仓，但仅1周 |
| 甲 | 4.45% | 55.1% | 4.88% | 53.7% | 46.2% | ❌ 不介入 |
| 乙(ZA>0) | 5.79% | 73.9% | 4.73% | 52.2% | 79.0% | ❌ 不介入（样本仅4,617） |
| 乙(ZA≤0) | 2.59% | 33.2% | 4.26% | 47.9% | 21.5% | ❌ 不介入 |
| 丙 | 1.85% | 24.1% | 4.19% | 48.1% | 13.2% | ❌ 不介入 |
| 丁 | 3.32% | 40.6% | 4.58% | 51.2% | 36.8% | ❌ 不介入 |
| 戊(ZA>0) | 6.18% | 70.4% | 4.91% | 54.7% | 72.5% | ❌ 不介入 |
| 戊(ZA≤0) | 2.80% | 34.7% | 4.30% | 48.2% | 30.8% | ❌ 不介入 |

**决策逻辑：** WXZC≤0时，即使最好的己，本周HR≥3%=74.5%但下周骤降至55.3%，说明本周冲高不可持续。其他护型本周HR≥3%已低于56%，更无介入价值。**等WXZC转正后再介入。**

#### 
