条件                            全量      中证2000      中证1000   沪深300上证50       基金ETF          指数
P(HR>0): 全量基准                       91.5%       92.2%       92.0%       90.7%       88.7%       91.2%
P(HR>0): 金+多长                       95.5%       95.7%       95.7%       95.1%       93.9%       96.6%
P(HR>0): 金+多长+升排                    98.3%       98.4%       98.5%       98.2%       96.8%       99.3%
P(HR>0): 金+多长+升排+非孕                 99.7%      100.0%       99.9%       99.7%       98.2%      100.0%
P(HR>0): 金+多长+升排+非孕+盈高             100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(HR>0): 最优(全部)                    100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(HR>0): 银(全量)                      95.9%       96.2%       96.3%       95.2%       93.3%       95.9%
P(HR>0): 银+WXAB=己                   98.9%       99.1%       99.5%       99.3%       96.4%       98.9%
P(HR>0): 银+WXAB=甲                   96.8%       97.0%       97.1%       96.1%       95.2%       97.5%
P(HR>0): 银+盈提示有                     98.0%       97.6%       98.4%       98.4%       98.7%       99.7%
P(HR>0): 银+柱排=升                     98.1%       98.2%       98.4%       97.9%       95.3%       98.8%
P(HR>0): 银+龙猪                       97.1%       97.1%       97.3%       96.9%       96.2%       97.8%
P(HR>0): 银+龙猪/管+WXAB=甲              96.9%       96.8%       97.0%       96.3%       96.1%       97.7%
P(HR>0): WXAB=己(不限)                 98.3%       98.6%       98.5%       98.1%       96.4%       98.3%
P(HR>0): WXAB=甲(不限)                 96.4%       96.5%       96.6%       95.7%       94.9%       97.1%
P(HR>0): WXAB=乙(不限)                 94.2%       94.6%       94.6%       93.9%       91.3%       95.0%
P(HR>0): 龙猪/管+柱排=升                  98.2%       98.3%       98.4%       97.8%       96.6%       99.2%
P(HR>0): 龙猪/管+盈提示有                  97.7%       97.0%       97.7%       98.3%       99.2%       99.9%

P(>1%): 全量基准                       77.9%       81.1%       80.7%       78.0%       63.9%       65.5%
P(>1%): 金+多长                       86.2%       89.7%       89.6%       87.3%       72.8%       74.3%
P(>1%): 金+多长+升排                    92.5%       95.7%       95.6%       94.3%       80.7%       82.2%
P(>1%): 金+多长+升排+非孕                 96.5%       99.5%       99.4%       98.6%       85.7%       87.2%
P(>1%): 金+多长+升排+非孕+盈高             100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>1%): 最优(全部)                    100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>1%): 银(全量)                      87.8%       90.5%       90.2%       87.5%       75.3%       76.2%
P(>1%): 银+WXAB=己                   94.9%       97.0%       97.4%       97.5%       78.9%       89.6%
P(>1%): 银+WXAB=甲                   90.1%       92.5%       92.1%       89.7%       80.1%       81.3%
P(>1%): 银+盈提示有                     95.7%       95.9%       97.0%       96.9%       89.6%       94.1%
