CIDL,代称,日冲策分,仓周类,月基带周,月基带日,月基策略,行业益盟,是宽基指数
sh000001,上证指数,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,是
sh000002,Ａ股指数,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000003,Ｂ股指数,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),上证指数,
sh000004,工业指数,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000005,商业指数,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),上证指数,
sh000006,地产指数,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000007,公用指数,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000008,综合指数,86,银r,(银)▲(忐),(银)▲(忐)▲(上),多被(银),上证指数,
sh000009,上证380,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000010,上证180,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000011,基金指数,2,金b,(金)↘(中),(金)↘(下)▽(忑),多长(消极),上证指数,
sh000012,国债指数,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000015,红利指数,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(消极),上证指数,
sh000016,上证50,0.8,嘘r,(嘘)↗(忐),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000017,新综指,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000018,180金融,80.9,唏a,(唏)↗(上),(银)▲(上)▲(上),多被(唏),上证指数,
sh000019,治理指数,49.1,尿r,(尿)↗(忐),(尿)↗(忐)▲(上),NA(空看),上证指数,
sh000020,中型综指,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000021,180治理,86,尿r,(尿)↗(忐),(银)▲(忐)▲(上),NA(空看),上证指数,
sh000022,沪公司债,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000025,180基建,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000026,180资源,33.9,嘘y,(嘘)▽(忠),(嘘)○(忠)↗(上),NA(空看),上证指数,
sh000027,180运输,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000028,180成长,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000029,180价值,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),上证指数,
sh000030,180R成长,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000031,180R价值,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000032,上证能源,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),上证指数,
sh000033,上证材料,1.3,嘘y,(嘘)▽(忑),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000034,上证工业,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000035,上证可选,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000036,上证消费,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000037,上证医药,28.2,银a,(银)▲(上),(银)▲(上)↘(忑),多被(银),上证指数,
sh000038,上证金融,80.9,唏a,(唏)↗(上),(银)▲(上)▲(上),多被(唏),上证指数,
sh000039,上证信息,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000040,上证电信,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000041,上证公用,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000042,上证央企,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000043,超大盘,82.4,金r,(金)▲(忐),(金)▲(上)▲(上),多长(不定),上证指数,
sh000044,上证中盘,0.5,嘘z,(嘘)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000045,上证小盘,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000046,上证中小,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000047,上证全指,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000048,责任指数,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000049,上证民企,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000050,50等权,1.7,嘘r,(嘘)↗(忐),(尿)○(忠)○(中),NA(空看),上证指数,
sh000051,180等权,2.2,嘘z,(嘘)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000052,50基本,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),上证指数,
sh000053,180基本,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000054,上证海外,49.1,嘘r,(嘘)↗(忐),(尿)↗(忐)▲(上),NA(空看),上证指数,
sh000055,上证地企,74.2,嘘r,(嘘)↗(忐),(嘘)↗(忐)▲(上),NA(空看),上证指数,
sh000056,上证国企,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),上证指数,
sh000057,全指成长,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000058,全指价值,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000059,全R成长,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000060,全R价值,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000061,沪企债30,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000062,上证沪企,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000063,上证周期,86,尿r,(尿)↗(忐),(银)▲(忐)▲(上),NA(空看),上证指数,
sh000064,非周期,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000065,上证龙头,74.2,尿y,(尿)▽(忠),(嘘)↗(忐)▲(上),NA(空看),上证指数,
sh000066,上证商品,2.2,嘘y,(嘘)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000067,上证新兴,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000068,上证资源,14.4,嘘z,(嘘)▽(忑),(嘘)↘(忑)↗(上),NA(空看),上证指数,
sh000069,消费80,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000070,能源等权,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(消极),上证指数,
sh000071,材料等权,13.7,嘘y,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),上证指数,
sh000072,工业等权,1.9,尿z,(尿)▽(忑),(屎)○(忠)↗(上),NA(空看),上证指数,
sh000073,可选等权,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000074,消费等权,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000075,医药等权,8.6,屎a,(屎)↗(上),(屎)○(中)↘(忑),NA(空看),上证指数,
sh000076,金融等权,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),上证指数,
sh000077,信息等权,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000078,电信等权,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000079,公用等权,1.3,尿z,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000090,上证流通,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000091,沪财中小,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000092,资源50,2.2,嘘z,(嘘)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000093,180分层,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000094,上证上游,33.9,嘘y,(嘘)▽(忠),(嘘)○(忠)↗(上),NA(空看),上证指数,
