DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
金,上,上,2835950,86.1,88.8,82.1,85.3,86.6,86.0,86.7,59.2,35.1,36.5,62.6,66.5,66.2,66.3,39.2,13.8,15.9,41.8,46.2,47.0,46.5
金,上,中,592158,86.8,87.1,81.9,86.3,87.6,87.3,87.5,61.0,37.2,38.0,62.3,66.5,66.5,66.3,38.4,14.5,15.5,39.2,43.6,44.2,43.6
金,上,下,413672,87.2,87.1,83.3,86.3,87.9,87.7,87.8,61.6,39.6,40.9,62.6,66.7,66.9,66.9,37.8,15.1,16.5,38.7,42.5,43.6,42.9
金,上,忐,174052,86.2,87.1,79.9,84.5,87.1,86.8,87.5,57.8,33.2,32.5,58.3,64.6,64.3,64.5,36.2,11.2,12.0,36.3,42.3,43.0,42.7
金,上,忠,52107,84.6,84.7,76.6,82.8,85.6,85.9,86.2,56.4,34.6,32.8,57.5,62.9,62.7,62.2,35.4,13.0,12.2,36.8,41.0,42.0,41.5
金,上,忑,183943,85.9,84.7,80.5,84.7,86.6,86.7,87.0,58.6,38.6,37.7,58.9,63.2,63.5,63.5,36.4,15.0,15.7,36.1,41.4,41.7,41.0
金,中,上,9430,83.9,84.5,81.7,77.1,85.5,84.5,85.5,51.7,28.5,34.7,49.9,58.4,58.2,58.9,29.6,9.4,12.6,27.5,36.0,36.0,35.7
金,中,中,3983,84.4,84.3,80.8,82.5,86.1,84.2,86.8,53.4,32.0,30.9,56.3,64.8,59.1,59.0,30.6,9.6,9.8,33.3,38.7,36.9,35.6
金,中,下,77256,86.2,86.1,80.8,85.4,86.7,86.9,87.4,59.4,37.4,36.0,59.5,63.5,65.5,65.8,34.8,12.5,13.7,34.2,38.6,40.7,40.9
金,中,忐,47647,85.2,85.8,81.1,83.8,85.4,85.6,86.5,55.3,31.2,32.6,56.5,61.8,60.8,61.9,34.0,11.5,11.0,34.1,39.3,40.0,39.9
金,中,忠,103331,85.1,85.8,82.0,83.3,85.2,85.4,86.3,55.0,33.2,33.8,55.3,60.0,59.8,60.2,33.0,10.4,11.6,33.0,36.9,38.3,38.4
金,中,忑,662167,86.6,84.3,81.6,85.5,87.2,87.5,87.6,59.7,38.7,38.7,60.0,64.2,64.5,64.5,35.8,14.4,15.5,36.0,40.1,40.6,40.3
金,下,上,4021,86.1,86.7,83.9,83.3,84.7,86.4,88.4,54.8,40.3,39.4,59.0,61.0,59.7,59.3,32.2,17.0,15.4,34.8,37.6,37.6,37.9
金,下,中,1420,86.1,90.3,84.4,86.6,86.2,84.3,88.5,54.9,40.3,42.6,50.9,53.8,59.1,60.5,32.3,10.4,17.7,26.8,33.1,37.4,40.5
金,下,下,21334,85.5,83.6,77.0,86.6,87.0,86.8,86.9,56.9,31.9,30.7,56.7,63.0,63.5,63.8,33.0,12.2,12.2,31.8,37.7,38.4,38.8
金,下,忐,23839,84.6,83.2,77.3,82.7,86.0,85.7,86.0,54.9,34.9,35.8,54.9,60.4,59.7,60.0,32.6,12.5,13.3,32.9,37.1,37.6,37.7
金,下,忠,96829,84.4,84.4,80.0,82.7,83.9,84.9,85.6,54.4,33.4,35.7,55.8,59.1,58.6,59.8,32.1,11.8,12.1,33.0,36.7,36.5,37.2
金,下,忑,890297,86.8,85.1,82.3,85.3,86.9,87.7,87.7,60.2,40.9,41.2,58.8,63.5,64.3,64.9,36.0,16.8,18.7,35.0,39.3,39.8,40.8
金,忐,上,265004,86.3,86.0,80.2,85.4,86.8,86.7,87.4,57.5,32.3,33.9,59.0,62.9,62.9,63.5,35.7,10.2,12.0,36.3,41.1,41.3,41.4
金,忐,中,30720,88.4,89.1,82.9,86.7,88.5,88.7,89.2,59.2,31.3,34.8,60.0,64.0,63.9,64.1,34.5,9.9,11.5,34.9,39.3,38.8,38.7
金,忐,下,6655,87.5,85.7,79.8,85.0,88.9,87.9,88.9,59.1,32.4,30.0,58.2,65.1,62.9,65.6,34.6,12.8,7.8,31.5,39.3,38.5,39.6
金,忐,忐,5228,85.8,84.2,66.8,86.6,89.0,86.6,90.4,58.7,34.8,28.7,60.3,64.4,64.0,66.9,36.9,15.1,13.2,36.7,38.3,42.6,43.7
金,忐,忠,161,83.2,100.0,80.0,62.5,92.3,83.3,78.8,55.9,61.5,30.0,37.5,46.2,59.5,60.6,32.3,38.5,10.0,37.5,30.8,36.9,24.2
金,忐,忑,398,86.7,83.0,71.4,80.0,89.3,88.7,87.9,57.5,34.0,35.7,36.0,67.9,65.5,59.8,32.9,10.6,14.3,16.0,42.9,41.8,31.8
金,忠,上,29874,86.5,88.5,80.2,82.3,85.4,87.3,87.9,54.6,32.7,28.9,53.3,59.0,61.0,61.8,32.3,11.2,10.9,33.6,36.7,37.8,37.9
金,忠,中,8960,87.1,87.5,82.6,83.3,84.5,88.3,87.6,55.7,34.5,30.0,53.8,59.2,59.8,62.5,32.0,13.0,8.5,30.8,35.5,36.2,36.5
金,忠,下,5662,86.9,87.1,80.5,83.5,87.0,87.2,89.2,56.0,30.2,28.4,51.4,61.1,61.7,62.9,31.7,10.5,7.9,31.2,36.7,35.5,37.9
金,忠,忐,4655,86.3,89.4,76.6,86.6,86.0,87.2,86.7,56.3,38.1,27.4,54.9,60.9,62.3,63.7,34.3,14.0,8.1,32.5,38.3,40.7,41.0
金,忠,忠,229,84.3,77.3,62.1,100.0,100.0,85.1,89.4,53.3,22.7,10.3,83.3,77.8,62.4,57.4,31.4,9.1,6.9,50.0,50.0,40.6,25.5
金,忠,忑,500,85.2,76.7,71.4,81.8,85.2,88.2,88.9,55.2,32.6,33.3,51.5,61.1,59.2,62.4,32.4,14.0,11.9,21.2,35.2,39.3,35.9
金,忑,上,19116,86.0,85.5,82.3,81.8,86.5,86.7,88.0,54.2,35.3,35.2,52.8,61.4,60.2,60.3,31.5,13.7,13.2,32.6,38.1,37.4,36.2
金,忑,中,6978,85.5,87.7,81.1,84.4,84.0,85.9,86.2,54.1,34.3,30.6,57.0,59.4,58.7,59.1,30.9,11.9,10.3,31.4,36.9,35.0,36.2
金,忑,下,29877,86.7,85.5,81.6,84.4,87.4,87.5,88.1,55.8,36.9,30.3,56.3,59.8,61.1,62.7,31.4,16.1,10.1,31.4,35.0,35.9,36.2
金,忑,忐,31143,85.5,87.8,76.8,82.6,85.5,86.2,86.9,55.3,38.5,32.5,57.1,59.0,59.7,61.3,33.2,15.8,12.5,33.0,37.9,38.0,38.3
金,忑,忠,34339,84.5,84.8,77.8,81.8,85.1,85.4,85.7,53.5,37.5,31.4,54.9,57.9,58.0,57.7,31.2,14.8,12.1,33.4,36.3,35.2,35.3
金,忑,忑,197633,86.6,86.3,81.8,83.9,85.8,87.5,87.7,56.6,40.8,37.5,55.5,58.9,60.3,60.8,32.1,16.9,15.4,32.1,34.4,35.5,35.9
银,上,上,801170,84.7,86.0,78.8,83.4,85.1,84.9,85.7,58.6,33.9,39.1,59.1,63.0,63.4,64.0,38.4,13.0,19.2,38.0,42.2,43.6,43.7
银,上,中,198140,87.3,87.9,81.0,85.7,88.0,87.7,87.9,60.6,39.5,42.4,58.0,63.9,64.8,64.9,36.8,16.8,20.2,34.3,39.3,41.0,40.9
