策略,全量,全量pct,Qdn,Qdpct,Qen,Qepct,Qifn,Qifpct,Qicn,Qicpct,Qimitn,Qimitpct,Qinn,Qinpct,Qstn,Qstpct
上1+BSHA5+连阳+周门,5209,0.6045306200806296,9.0,,47.0,0.3829787234042553,421.0,0.5486935866983373,547.0,0.6069469835466179,2639.0,0.6153846153846154,1320.0,0.6015151515151516,226.0,0.6371681415929203
上1+BSHA5+连阳,5876,0.6043226684819605,11.0,,52.0,0.34615384615384615,463.0,0.5442764578833693,613.0,0.600326264274062,2965.0,0.6155143338954469,1493.0,0.6021433355659745,279.0,0.6523297491039427
下1+BSHA5,2862,0.6002795248078266,16.0,,45.0,0.35555555555555557,165.0,0.6181818181818182,240.0,0.6208333333333333,1428.0,0.6078431372549019,815.0,0.5950920245398773,153.0,0.5816993464052288
上1+BSHA5+周门,5433,0.5998527517025585,9.0,,53.0,0.39622641509433965,435.0,0.5448275862068965,560.0,0.6035714285714285,2757.0,0.6108088501994922,1387.0,0.5948089401586157,232.0,0.6379310344827587
上4+BSHA5+周门,8067,0.5993553985372505,35.0,0.8,127.0,0.47244094488188976,580.0,0.6379310344827587,849.0,0.6101295641931684,3989.0,0.595136625720732,2023.0,0.6000988630746417,464.0,0.584051724137931
上4+BSHA5+连阳+周门,5836,0.5969842357779301,16.0,,85.0,0.43529411764705883,460.0,0.6152173913043478,633.0,0.5987361769352291,2879.0,0.5929142063216395,1426.0,0.605890603085554,337.0,0.599406528189911
上4+BSHA5+连阳,6980,0.5859598853868195,20.0,0.7,99.0,0.40404040404040403,532.0,0.6127819548872181,754.0,0.5915119363395226,3437.0,0.579575210939773,1740.0,0.5948275862068966,398.0,0.5954773869346733
上4+BSHA5,11922,0.58379466532461,55.0,0.7272727272727273,184.0,0.46195652173913043,802.0,0.6172069825436409,1208.0,0.6026490066225165,5856.0,0.5782103825136612,3111.0,0.585020893603343,706.0,0.5750708215297451
下1+BSHA5+周门,1692,0.5797872340425532,8.0,,22.0,0.36363636363636365,99.0,0.5252525252525253,152.0,0.6052631578947368,846.0,0.58274231678487,478.0,0.5774058577405857,87.0,0.6206896551724138
上3+BSHA5+连阳+周门,34081,0.5702884305037997,421.0,0.4346793349168646,718.0,0.4331476323119777,2910.0,0.5553264604810997,3669.0,0.562551103843009,15954.0,0.5697003886172747,8480.0,0.5869103773584906,1929.0,0.6200103680663557
上2+BSHA5+连阳,2791,0.5614475098530992,4.0,,20.0,0.6,232.0,0.5431034482758621,291.0,0.5773195876288659,1442.0,0.5547850208044383,653.0,0.5712098009188361,149.0,0.5838926174496645
上3+BSHA5+连阳,41838,0.5613557053396434,512.0,0.482421875,886.0,0.4729119638826185,3448.0,0.5493039443155452,4492.0,0.5503116651825467,19684.0,0.5580674659622028,10426.0,0.5774985612890849,2390.0,0.605857740585774
上2+BSHA5+连阳+周门,2294,0.560156931124673,3.0,,15.0,,192.0,0.5625,232.0,0.5732758620689655,1185.0,0.5544303797468354,538.0,0.5613382899628253,129.0,0.5658914728682171
上1+BSHA5,12058,0.5566428926853542,34.0,0.7058823529411765,136.0,0.3161764705882353,909.0,0.4961496149614962,1187.0,0.5560235888795282,5977.0,0.564664547431822,3176.0,0.5654911838790933,639.0,0.568075117370892
上2+BSHA5+周门,2740,0.5562043795620438,3.0,,25.0,0.6,224.0,0.5446428571428571,274.0,0.5656934306569343,1413.0,0.556970983722576,648.0,0.5555555555555556,153.0,0.5490196078431373
上3+BSHA5+周门,58476,0.5528250906354744,607.0,0.4316309719934102,1237.0,0.4284559417946645,5041.0,0.5389803610394763,6402.0,0.5482661668228679,27459.0,0.5555191376233658,14464.0,0.5640901548672567,3266.0,0.5802204531537049
上4+BSHA3+连阳+周门,10418,0.5421386062583989,104.0,0.46153846153846156,252.0,0.43253968253968256,836.0,0.5538277511961722,1158.0,0.5371329879101899,4946.0,0.5458956732713304,2541.0,0.5395513577331759,581.0,0.576592082616179
上1+BSHA3+连阳+周门,12004,0.5414861712762412,83.0,0.4939759036144578,190.0,0.3473684210526316,1043.0,0.5148609779482263,1360.0,0.5294117647058824,5789.0,0.5482812230091553,2933.0,0.5540402318445278,606.0,0.5561056105610561
上2+BSHA5,5257,0.5408027392048697,13.0,,54.0,0.3888888888888889,392.0,0.5306122448979592,524.0,0.5687022900763359,2649.0,0.5330313325783315,1321.0,0.5571536714610144,304.0,0.5328947368421053
上1+BSHA3+连阳,13231,0.5395661703574938,96.0,0.4583333333333333,218.0,0.3119266055045872,1128.0,0.5141843971631206,1489.0,0.5245130960376091,6385.0,0.5472200469851214,3219.0,0.5532774153463809,696.0,0.5617816091954023
上4+BSHA3+周门,16557,0.5390469287914478,172.0,0.5116279069767442,381.0,0.4330708661417323,1272.0,0.559748427672956,1817.0,0.5321959273527793,7865.0,0.5427844882390337,4114.0,0.5381623723869713,936.0,0.5448717948717948
上1+BSHA3+周门,12693,0.5362798392814937,86.0,0.4883720930232558,218.0,0.3394495412844037,1105.0,0.5122171945701357,1418.0,0.5289139633286318,6118.0,0.5429879045439686,3115.0,0.5476725521669342,633.0,0.5481832543443917
下1+BSHA3+周门,6210,0.5359098228663446,54.0,0.48148148148148145,128.0,0.421875,479.0,0.5052192066805845,676.0,0.5340236686390533,2956.0,0.5497293640054127,1598.0,0.5362953692115144,319.0,0.5109717868338558
上3+BSHA5,92107,0.5332276591355706,963.0,0.446521287642783,1835.0,0.43814713896457763,7344.0,0.5217864923747276,9811.0,0.5259402711242482,43203.0,0.5347313843946022,23518.0,0.5443490092694957,5433.0,0.5492361494570219
上4+BSHA3+连阳,12370,0.5321746160064672,121.0,0.4297520661157025,300.0,0.3933333333333333,964.0,0.5466804979253111,1374.0,0.5291120815138283,5867.0,0.5355377535367308,3043.0,0.5359842260926717,701.0,0.550641940085592
下4+BSHA5+周门,128,0.53125,0.0,,3.0,,10.0,,14.0,,67.0,0.47761194029850745,32.0,0.625,2.0,
下1+BSHA3,11468,0.5250261597488665,116.0,0.46551724137931033,225.0,0.43555555555555553,821.0,0.5140073081607796,1185.0,0.5181434599156118,5500.0,0.5367272727272727,3004.0,0.5256324900133156,617.0,0.48946515397082657
上4+BSHA3,25736,0.5187286291576002,281.0,0.4697508896797153,585.0,0.39487179487179486,1839.0,0.5426862425231104,2720.0,0.5216911764705883,12145.0,0.5209551255660766,6635.0,0.5211755840241146,1531.0,0.5127367733507512
下4+BSHA5+连阳,54,0.5185185185185185,0.0,,1.0,,3.0,,8.0,,27.0,0.48148148148148145,15.0,,0.0,
下4+BSHA5+连阳+周门,54,0.5185185185185185,0.0,,1.0,,3.0,,8.0,,27.0,0.48148148148148145,15.0,,0.0,
下4+BSHA5,759,0.5177865612648221,4.0,,34.0,0.3235294117647059,38.0,0.6052631578947368,73.0,0.4794520547945205,357.0,0.5126050420168067,214.0,0.5467289719626168,39.0,0.5641025641025641
上2+BSHA3+连阳+周门,4096,0.510986328125,39.0,0.41025641025641024,77.0,0.42857142857142855,347.0,0.48703170028818443,421.0,0.517814726840855,2036.0,0.5142436149312377,950.0,0.5189473684210526,226.0,0.5176991150442478
上3+BSHA3+连阳+周门,49824,0.5103564547206165,1586.0,0.29760403530895335,2064.0,0.3483527131782946,4268.0,0.5077319587628866,5404.0,0.5031458179126573,22016.0,0.5244821947674418,11865.0,0.5339233038348082,2621.0,0.5604731018695155
上2+BSHA3+连阳,4890,0.5081799591002045,47.0,0.3404255319148936,95.0,0.35789473684210527,408.0,0.47794117647058826,514.0,0.5136186770428015,2438.0,0.5118949958982772,1129.0,0.5234720992028343,259.0,0.528957528957529
上2+BSHA3+周门,5534,0.503614022406939,43.0,0.37209302325581395,107.0,0.40186915887850466,451.0,0.4811529933481153,592.0,0.5101351351351351,2727.0,0.5144847818115145,1310.0,0.49923664122137407,304.0,0.5
上3+BSHA3+连阳,61423,0.5010826563339466,1848.0,0.29924242424242425,2487.0,0.35625251306795336,5127.0,0.49931733957480007,6607.0,0.49341607386105646,27379.0,0.5118156251141386,14713.0,0.5245701080676952,3262.0,0.5481299816063765
下4+BSHA3+连阳+周门,260,0.49615384615384617,0.0,,4.0,,24.0,0.5416666666666666,35.0,0.6,128.0,0.453125,61.0,0.5245901639344263,8.0,
上1+BSHA3,30483,0.4961453925138602,290.0,0.38620689655172413,593.0,0.31197301854974707,2428.0,0.4612850082372323,3159.0,0.5001582779360557,14540.0,0.4998624484181568,7760.0,0.5126288659793814,1713.0,0.514302393461763
下4+BSHA3+周门,654,0.4954128440366973,3.0,,13.0,,56.0,0.5178571428571429,75.0,0.5066666666666667,320.0,0.484375,157.0,0.5222929936305732,30.0,0.5
下4+BSHA3+连阳,262,0.49236641221374045,0.0,,4.0,,24.0,0.5416666666666666,35.0,0.6,128.0,0.453125,63.0,0.5079365079365079,8.0,
下4+BSHA3,3645,0.4872427983539095,36.0,0.4444444444444444,115.0,0.34782608695652173,253.0,0.5098814229249012,379.0,0.5065963060686016,1727.0,0.48697162709901565,938.0,0.4946695095948827,197.0,0.47715736040609136
上3+BSHA3+周门,100920,0.4849286563614744,2704.0,0.2988165680473373,3914.0,0.34721512519161984,8947.0,0.48228456465854475,11233.0,0.48606783584082613,44946.0,0.49864281582343256,23932.0,0.49736754136720707,5244.0,0.511441647597254
上2+BSHA3,11530,0.4788378143972246,105.0,0.29523809523809524,227.0,0.29515418502202645,887.0,0.4588500563697858,1153.0,0.4986990459670425,5577.0,0.4844898691052537,2909.0,0.4874527328979031,672.0,0.47767857142857145
下1+连阳,90,0.4666666666666667,1.0,,3.0,,4.0,,7.0,,47.0,0.425531914893617,25.0,0.6,3.0,
上3+BSHA3,174952,0.4571253829621839,4298.0,0.283620288506282,6181.0,0.33861834654586637,14242.0,0.4555539952253897,18613.0,0.45989362273679685,79022.0,0.46641441623851587,42943.0,0.46973895629089724,9653.0,0.47508546565834453
上4+连阳,20305,0.4563900517114011,988.0,0.1902834008097166,1224.0,0.25735294117647056,1606.0,0.47447073474470736,2081.0,0.4925516578567996,8803.0,0.4835851414290583,4580.0,0.4810043668122271,1023.0,0.5053763440860215
上3+连阳,75617,0.45095679542959916,4510.0,0.19113082039911308,5247.0,0.24433009338669717,6070.0,0.46210873146622733,7472.0,0.4745717344753747,31492.0,0.4840594436682332,17107.0,0.49383293388671307,3719.0,0.5143855875235278
上2+连阳,7043,0.43873349424960956,266.0,0.12781954887218044,366.0,0.20218579234972678,579.0,0.41796200345423146,704.0,0.4744318181818182,3209.0,0.46837020878778435,1572.0,0.46564885496183206,347.0,0.49279538904899134
上1+连阳,30919,0.42236165464601055,1796.0,0.16815144766146994,2198.0,0.1696997270245678,2644.0,0.4084720121028744,3108.0,0.45785070785070786,12900.0,0.4668217054263566,6832.0,0.46735948477751754,1441.0,0.4621790423317141
上4+层主+升排,10544,0.4205235204855842,521.0,0.18042226487523993,985.0,0.2050761421319797,843.0,0.4472123368920522,946.0,0.47674418604651164,4392.0,0.45309653916211295,2350.0,0.465531914893617,507.0,0.4457593688362919
下4+连阳,2593,0.41033551870420365,137.0,0.23357664233576642,161.0,0.21739130434782608,204.0,0.47058823529411764,271.0,0.4317343173431734,1120.0,0.42232142857142857,591.0,0.45346869712351945,109.0,0.3944954128440367
上2+层主+升排,3791,0.3972566605117383,198.0,0.13636363636363635,291.0,0.12371134020618557,295.0,0.39661016949152544,358.0,0.4664804469273743,1630.0,0.4404907975460123,835.0,0.4227544910179641,184.0,0.4782608695652174
上4+层主,37778,0.3964476679548944,2613.0,0.14695752009184845,3541.0,0.1787630612821237,2920.0,0.41404109589041094,3533.0,0.4472120011321823,15376.0,0.4464099895941727,8071.0,0.4371205550737207,1724.0,0.45185614849187933
上1+层主,16157,0.3872624868478059,1230.0,0.13577235772357724,1387.0,0.1521268925739005,1280.0,0.3875,1538.0,0.44018205461638493,6563.0,0.4388237086698156,3411.0,0.4391673995895632,748.0,0.4385026737967914
上3+层主+升排,87427,0.3836686607112219,7855.0,0.12883513685550604,9111.0,0.17396553616507518,7220.0,0.40429362880886427,7946.0,0.4504153032972565,33019.0,0.44074623701505194,18367.0,0.4410083301573474,3909.0,0.4591967255052443
上2+层主,5521,0.38253939503713097,303.0,0.1254125412541254,433.0,0.12009237875288684,435.0,0.3701149425287356,547.0,0.4369287020109689,2365.0,0.42959830866807613,1160.0,0.4146551724137931,278.0,0.44964028776978415
下4+层主,970,0.3804123711340206,57.0,0.15789473684210525,75.0,0.14666666666666667,64.0,0.359375,112.0,0.4642857142857143,430.0,0.40232558139534885,210.0,0.44761904761904764,22.0,0.3181818181818182
上1+层主+升排,6952,0.378596087456847,448.0,0.13169642857142858,536.0,0.17350746268656717,601.0,0.37104825291181365,638.0,0.4153605015673981,2880.0,0.4263888888888889,1516.0,0.40897097625329815,333.0,0.43243243243243246
上3+层主,124528,0.3761081845046897,11177.0,0.12847812472040798,13289.0,0.1705922191286026,10192.0,0.39756671899529045,11497.0,0.4428981473427851,47081.0,0.434039209022748,25796.0,0.4299503799038611,5496.0,0.4481441048034934
基准-Qst(ST),52358,0.3760647847511364,,,,,,,,,,,,,,
基准-Qic(中证500),98542,0.371465973899454,,,,,,,,,,,,,,
基准-Qin(非成分),245532,0.36678314842871806,,,,,,,,,,,,,,
下4+层主+升排,379,0.36675461741424803,20.0,0.15,34.0,0.17647058823529413,30.0,0.43333333333333335,33.0,0.3939393939393939,171.0,0.4152046783625731,80.0,0.375,11.0,
基准-Qimit(中证1000/2000),449955,0.3648187040926315,,,,,,,,,,,,,,
下1+层主,31094,0.35878304496044255,2272.0,0.12411971830985916,2678.0,0.13816280806572068,2493.0,0.35298836742880063,2906.0,0.4222298692360633,12637.0,0.40951175120677374,6671.0,0.39469344925798233,1437.0,0.40988169798190677
基准-Qif(沪深300),84148,0.33398298236440555,,,,,,,,,,,,,,
基准-全样本,1103170,0.3281751679251611,,,,,,,,,,,,,,
下1+层主+升排,672,0.27529761904761907,19.0,,55.0,0.05454545454545454,75.0,0.30666666666666664,68.0,0.35294117647058826,271.0,0.3505535055350554,154.0,0.22727272727272727,30.0,0.16666666666666666
基准-Qe(基金),97394,0.14396164034745468,,,,,,,,,,,,,,
基准-Qd(指数),75241,0.12498504804561343,,,,,,,,,,,,,,
