策略,全量,全量pct,Qdn,Qdpct,Qen,Qepct,Qifn,Qifpct,Qicn,Qicpct,Qimitn,Qimitpct,Qinn,Qinpct,Qstn,Qstpct
上4+BSHA5+周门,146334,0.5995120751158309,755.0,0.6913907284768211,1607.0,0.492843808338519,8188.0,0.5974596971177333,15252.0,0.6093627065302911,82029.0,0.5985687988394348,31331.0,0.5999170150968689,7172.0,0.6041550474065811
上1+BSHA5+连阳+周门,96593,0.5962440342467881,280.0,0.6785714285714286,817.0,0.5055079559363526,5423.0,0.567398119122257,10199.0,0.5825080890283361,55000.0,0.5997090909090909,20521.0,0.6014326787193607,4353.0,0.6078566505858028
上4+BSHA5+连阳+周门,105380,0.5960144239893718,366.0,0.587431693989071,1119.0,0.48168007149240394,6113.0,0.5918534271225258,11113.0,0.6026275533159363,59466.0,0.5941882756533144,22089.0,0.6025623613563312,5114.0,0.6052014078998826
下1+BSHA5,51621,0.5947192034249628,406.0,0.6428571428571429,551.0,0.3684210526315789,2490.0,0.6092369477911647,5237.0,0.6009165552797403,28227.0,0.5971233216423991,12032.0,0.5990691489361702,2678.0,0.563480209111277
上1+BSHA5+连阳,108779,0.5943978157548792,305.0,0.6622950819672131,924.0,0.48268398268398266,5992.0,0.5600801068090788,11409.0,0.5795424664738364,61893.0,0.5989207180133456,23290.0,0.5998711893516531,4966.0,0.6045106725734998
上1+BSHA5+周门,100730,0.5924252953439889,288.0,0.6631944444444444,919.0,0.4820457018498368,5630.0,0.566429840142096,10577.0,0.5797485109199206,57253.0,0.5964752938710636,21505.0,0.5959544292025111,4558.0,0.604212373848179
上4+BSHA5+连阳,126334,0.5882185318283281,450.0,0.5711111111111111,1283.0,0.48012470771628996,7130.0,0.5820476858345021,13104.0,0.5919566544566545,71411.0,0.5865202839898616,26752.0,0.5947966507177034,6204.0,0.6021921341070278
上4+BSHA5,215020,0.5877592782066785,1243.0,0.6950925181013676,2380.0,0.5021008403361344,11360.0,0.5830985915492958,21685.0,0.5940511874567673,120090.0,0.5876342742942793,47038.0,0.5866746035120541,11224.0,0.59248039914469
下1+BSHA5+周门,30544,0.5831259821896281,226.0,0.6769911504424779,288.0,0.4201388888888889,1575.0,0.587936507936508,3275.0,0.5905343511450382,16716.0,0.5820770519262981,6928.0,0.5866050808314087,1536.0,0.5748697916666666
上3+BSHA5+连阳+周门,622413,0.5690176779726644,11763.0,0.4409589390461617,11866.0,0.4193494016517782,41876.0,0.5512226573693763,72624.0,0.5659974664022912,328636.0,0.5734003578427196,124893.0,0.5848286132929787,30755.0,0.5960656803771744
下1+BSHA3+连阳,192,0.5677083333333334,1.0,,0.0,,13.0,,16.0,,101.0,0.594059405940594,52.0,0.5576923076923077,9.0,
上2+BSHA5+连阳+周门,43840,0.5631386861313868,130.0,0.5461538461538461,308.0,0.5324675324675324,2628.0,0.556316590563166,4667.0,0.5663166916648811,24556.0,0.5598631698973774,9479.0,0.5705243169110665,2072.0,0.5752895752895753
上1+BSHA5,220656,0.5611721412515409,1068.0,0.5926966292134831,2027.0,0.4055254070054267,11707.0,0.5261809173998463,22310.0,0.5591214701927387,123286.0,0.5654899988644291,49179.0,0.5638788913967344,11079.0,0.5676505099738244
上3+BSHA5+连阳,766718,0.5603898695478651,14524.0,0.4713577526852107,14946.0,0.4708283152682992,49943.0,0.5425585167090483,87967.0,0.5564132004046972,406337.0,0.5622402094812926,154916.0,0.5740853107490511,38085.0,0.586608901142182
上2+BSHA5+周门,51305,0.5599649157002241,148.0,0.527027027027027,433.0,0.4341801385681293,2993.0,0.5506181089208152,5391.0,0.5633463179373029,28675.0,0.558360941586748,11211.0,0.5667647845865668,2454.0,0.5757946210268948
下1+BSHA3+连阳+周门,177,0.559322033898305,1.0,,0.0,,13.0,,14.0,,93.0,0.6021505376344086,49.0,0.5510204081632653,7.0,
上2+BSHA5+连阳,52457,0.5591436795851841,163.0,0.50920245398773,363.0,0.5041322314049587,3073.0,0.5440937194923527,5471.0,0.559495521842442,29454.0,0.5569701908060026,11465.0,0.56694286960314,2468.0,0.5782009724473258
上3+BSHA5+周门,1068565,0.5522958360043609,17780.0,0.43970753655793027,20188.0,0.4231721814939568,71708.0,0.5393819378590953,124978.0,0.553497415545136,566775.0,0.5569123549909576,214916.0,0.5610331478345028,52220.0,0.5693412485637687
上4+BSHA3+连阳+周门,188784,0.5413806254767353,2810.0,0.42633451957295376,4173.0,0.4325425353462737,11997.0,0.5322163874301908,20755.0,0.5441580342086244,102054.0,0.5440845042820468,37964.0,0.5501264355705405,9031.0,0.5659395415790056
上2+BSHA5,96880,0.5408959537572254,484.0,0.5413223140495868,797.0,0.37892095357590966,5234.0,0.5235001910584639,9812.0,0.5475947818997147,53507.0,0.5386398041377763,22059.0,0.5493902715444943,4987.0,0.5584519751353519
上1+BSHA3+连阳+周门,219574,0.539918205251988,2373.0,0.49051833122629585,3416.0,0.4092505854800937,14457.0,0.5117244241543889,25071.0,0.5308124925212396,120110.0,0.5443926400799267,44184.0,0.5512629005975014,9963.0,0.5560574124259761
下4+BSHA5+周门,2402,0.5395503746877602,1.0,,41.0,0.21951219512195122,98.0,0.5714285714285714,214.0,0.5841121495327103,1344.0,0.53125,599.0,0.5642737896494157,105.0,0.5142857142857142
下4+BSHA5+连阳+周门,1077,0.5376044568245125,0.0,,9.0,,41.0,0.6097560975609756,99.0,0.5656565656565656,607.0,0.5337726523887973,276.0,0.532608695652174,45.0,0.4888888888888889
上4+BSHA3+周门,301539,0.5375059279230879,4447.0,0.4681807960422757,6348.0,0.4360428481411468,18706.0,0.5287073666203357,33055.0,0.5406746331871124,162901.0,0.5409850154388248,61542.0,0.5417438497286406,14540.0,0.5502063273727648
上1+BSHA3+连阳,242192,0.5374537556979586,2713.0,0.45890158496129746,3800.0,0.38789473684210524,15757.0,0.5048549850859936,27456.0,0.5285547785547785,132439.0,0.5434275402260663,49014.0,0.5492716366752356,11013.0,0.5528012349042041
下4+BSHA5+连阳,1086,0.5368324125230203,0.0,,9.0,,41.0,0.6097560975609756,100.0,0.56,612.0,0.5326797385620915,277.0,0.5342960288808665,47.0,0.48936170212765956
上1+BSHA3+周门,232060,0.5361630612772559,2511.0,0.48068498606133014,3726.0,0.40096618357487923,15214.0,0.5095964243459971,26432.0,0.5272775423728814,126723.0,0.5416143872856546,46866.0,0.5455340758759015,10588.0,0.5505289006422365
上4+BSHA3+连阳,226001,0.5333117995053119,3414.0,0.39777387229056826,4818.0,0.4140722291407223,14014.0,0.5223348080490937,24605.0,0.5362324730745783,122522.0,0.5365648618207343,45787.0,0.5427959901282023,10841.0,0.5597269624573379
上3+BSHA5,1687598,0.5328763129607881,27776.0,0.4410642281105991,29692.0,0.44405900579280616,104684.0,0.5196973749570135,189164.0,0.5324163160009304,897825.0,0.5354540138668449,351051.0,0.5415025167283386,87406.0,0.5478800082374208
下1+BSHA3+周门,113388,0.5296768617490387,1609.0,0.4916096954630205,1705.0,0.4463343108504399,6468.0,0.5200989486703772,12644.0,0.5373299588737741,61755.0,0.5323293660432353,23802.0,0.5312158642130913,5405.0,0.5237742830712303
下1+BSHA3,208842,0.5218777832045278,3274.0,0.5302382406841784,2832.0,0.4297316384180791,11253.0,0.5211943481738203,22346.0,0.5269399445090844,113085.0,0.5246053853296193,45606.0,0.5210717887997194,10446.0,0.50813708596592
上4+BSHA3,469608,0.5209387403962453,7234.0,0.46018800110588887,9283.0,0.4218463858666379,27349.0,0.5110972978902336,49960.0,0.5243394715772618,253342.0,0.5241333849105162,98506.0,0.524841126428847,23934.0,0.532004679535389
下4+BSHA3+连阳+周门,5014,0.5191463901076985,61.0,0.29508196721311475,108.0,0.5,276.0,0.5217391304347826,532.0,0.5620300751879699,2778.0,0.5172786177105831,1042.0,0.5230326295585412,217.0,0.48847926267281105
下4+BSHA3+连阳,5064,0.518562401263823,61.0,0.29508196721311475,108.0,0.5,279.0,0.5197132616487455,537.0,0.5623836126629422,2806.0,0.5174625801853172,1053.0,0.5204178537511871,220.0,0.4863636363636364
