代码,命分_几何均值,算术均值,最大收益,最大亏损,胜率,交易次数
bj920000,-100,26.08,198.55,-100.0,57.1,7
bj920001,58.63,70.13,158.94,5.9,100.0,3
bj920002,74.18,105.01,213.14,-3.12,50.0,2
bj920005,-100,0,0,0,0,0
bj920006,31.62,49.49,161.68,-9.79,33.3,3
bj920007,-10.88,-9.98,2.69,-22.65,50.0,2
bj920008,39.87,41.83,65.3,18.35,100.0,2
bj920010,-100,10.92,214.78,-100.0,53.8,13
bj920014,8.96,12.49,73.71,-11.22,40.0,5
bj920015,0.96,2.04,22.32,-13.73,33.3,3
bj920016,12.31,13.91,48.17,-1.89,75.0,4
bj920017,7.0,7.88,31.62,-5.64,42.9,7
bj920018,-100,0,0,0,0,0
bj920019,-15.46,-15.46,-14.85,-16.07,0.0,2
bj920021,4.02,7.28,52.27,-36.84,45.5,11
bj920022,-29.48,-29.48,-29.48,-29.48,0.0,1
bj920023,3.42,5.75,52.11,-16.14,40.0,5
bj920026,9.24,10.68,44.55,-10.21,66.7,6
bj920027,6.43,6.43,6.43,6.43,100.0,1
bj920029,5.77,6.64,25.94,-6.6,66.7,3
bj920030,-100,17.22,118.94,-100.0,63.6,11
bj920033,3.43,5.21,63.39,-6.06,12.5,8
bj920037,14.7,19.37,69.29,-5.7,33.3,3
bj920039,10.09,14.41,98.56,-18.44,38.9,18
bj920046,40.29,48.61,118.42,-1.4,66.7,6
bj920047,0.75,8.75,82.75,-71.07,56.2,16
bj920056,-9.21,-8.74,0.51,-17.99,50.0,2
bj920057,19.15,22.29,79.75,-2.42,60.0,5
bj920058,29.68,38.49,110.44,-9.64,66.7,3
bj920060,-8.64,-8.64,-8.64,-8.64,0.0,1
bj920061,59.2,73.29,141.73,4.85,100.0,2
bj920062,16.87,20.88,99.58,-11.43,71.4,7
bj920066,-2.97,-2.97,-2.97,-2.97,0.0,1
bj920068,-3.52,-3.46,1.17,-9.36,16.7,6
bj920075,23.56,32.59,144.39,-8.61,80.0,5
bj920077,32.25,136.86,1237.67,-7.32,33.3,9
bj920080,-15.83,-15.83,-15.83,-15.83,0.0,1
bj920082,15.38,15.38,15.38,15.38,100.0,1
bj920087,25.0,34.14,162.59,-4.75,66.7,6
bj920088,22.14,22.38,30.0,14.76,100.0,2
bj920089,-100,8.68,70.72,-100.0,62.5,8
bj920090,-100,-3.03,135.26,-100.0,50.0,14
bj920092,25.6,32.92,146.03,-11.69,85.7,7
bj920098,-16.28,-15.65,-5.32,-25.98,0.0,2
bj920099,7.2,7.77,24.92,-4.27,50.0,4
bj920100,2.75,2.75,2.75,2.75,100.0,1
bj920101,-100,0,0,0,0,0
bj920106,38.66,50.81,110.13,-8.5,50.0,2
bj920108,12.26,12.51,20.02,5.0,100.0,2
bj920110,15.42,24.05,160.09,-7.98,42.9,7
bj920111,-0.43,-0.2,9.26,-10.97,60.0,5
bj920112,-100,0,0,0,0,0
bj920116,13.33,20.33,103.47,-22.33,40.0,5
bj920118,6.54,6.6,11.35,2.53,100.0,3
bj920122,49.36,79.68,290.97,-1.52,50.0,4
bj920123,8.4,13.62,61.78,-22.42,66.7,3
bj920128,-14.73,-14.14,-4.01,-24.26,0.0,2
bj920130,10.8,15.82,92.41,-15.03,50.0,6
bj920132,12.04,24.83,110.56,-24.18,33.3,3
bj920139,11.55,18.68,141.54,-8.19,57.1,7
bj920145,43.01,51.57,128.49,-8.04,75.0,4
bj920146,-2.95,7.58,69.2,-75.06,50.0,10
bj920149,-100,-14.03,101.81,-100.0,50.0,16
bj920152,40.1,56.58,208.6,-3.71,60.0,5
bj920158,-4.37,-4.37,-4.37,-4.37,0.0,1
bj920163,9.06,16.19,188.34,-14.95,33.3,12
bj920167,19.51,69.86,895.82,-10.63,46.2,13
bj920169,26.28,34.61,121.31,-8.0,57.1,7
bj920171,201.23,235.36,382.76,87.96,100.0,2
bj920174,55.94,98.81,252.34,-49.91,60.0,5
bj920175,-0.09,0.54,30.33,-12.62,25.0,8
bj920179,8.53,9.77,37.18,-14.33,71.4,7
bj920184,-100,20.24,249.59,-100.0,60.0,10
bj920185,23.23,45.84,251.59,-29.46,40.0,10
bj920190,12.46,18.04,106.86,-13.97,37.5,8
bj920195,24.83,33.98,135.09,-5.92,40.0,5
bj920198,10.79,16.93,86.21,-34.13,63.6,11
bj920199,34.31,48.37,176.84,3.1,100.0,4
bj920204,20.46,29.47,155.05,-5.23,50.0,6
bj920207,26.59,46.8,242.72,-26.06,50.0,6
bj920208,20.3,24.14,78.97,-3.66,75.0,4
bj920212,28.3,35.72,152.97,-7.03,71.4,7
bj920221,26.01,28.46,68.69,-6.08,80.0,5
bj920223,47.89,58.9,179.38,2.84,100.0,5
bj920225,42.47,60.38,162.22,-44.85,72.7,11
bj920227,20.28,35.35,238.44,-9.34,57.1,7
bj920230,11.78,12.92,39.59,-4.42,71.4,7
bj920237,14.72,24.91,180.07,-9.12,57.1,7
