DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR,父级样本,收缩标记
金,上,上,2835950,99.8,98.0,82.4,86.1,59.2,39.2,2.31,1.39,4251882,
金,上,中,592158,99.3,92.9,29.8,86.8,61.0,38.4,2.1,1.43,4251882,
金,上,下,413672,98.1,73.4,15.9,87.2,61.6,37.8,2.01,1.43,4251882,
金,上,忐,174052,99.5,85.9,81.1,86.2,57.8,36.2,2.05,1.3,4251882,
金,上,忠,52107,99.3,76.3,65.0,84.6,56.4,35.4,1.96,1.25,4251882,
金,上,忑,183943,99.0,66.9,28.6,85.9,58.6,36.4,1.98,1.33,4251882,
金,中,上,9430,99.1,38.7,38.7,83.9,51.7,29.6,1.69,1.05,903814,
金,中,中,3983,98.2,32.3,29.1,84.4,53.4,30.6,1.67,1.11,903814,
金,中,下,77256,94.2,20.9,9.7,86.2,59.4,34.8,1.85,1.32,903814,
金,中,忐,47647,99.4,44.9,44.9,85.2,55.3,34.0,1.89,1.2,903814,
金,中,忠,103331,99.1,30.0,30.0,85.1,55.0,33.0,1.85,1.17,903814,
金,中,忑,662167,98.2,14.6,10.8,86.6,59.7,35.8,1.9,1.35,903814,
金,下,上,4021,97.0,29.9,29.9,86.1,54.8,32.2,1.77,1.16,1037740,
金,下,中,1420,94.3,24.1,23.6,86.1,54.9,32.3,1.74,1.17,1037740,
