15: 2001/12/21  周涨=2.02  HR=3.79  ZA周=4  ZC周=1
16: 2001/12/28  周涨=3.96  HR=5.45  ZA周=5  ZC周=2
17: 2002/1/4  周涨=0.71  HR=5.24  ZA周=6  ZC周=3
18: 2002/1/11  周涨=-4.02  HR=0  ZA周=7  ZC周=4
19: 2002/1/18  周涨=1.72  HR=2.71  ZA周=8  ZC周=5
20: 2002/1/25  周涨=1.21  HR=3.15  ZA周=9  ZC周=6
21: 2002/2/1  周涨=-0.24  HR=2.39  ZA周=10  ZC周=7
22: 2002/2/8  周涨=1.68  HR=4.32  ZA周=11  ZC周=8
23: 2002/3/1  周涨=-0.71  HR=2.12  ZA周=12  ZC周=9
24: 2002/3/8  周涨=5.94  HR=6.41  ZA周=13  ZC周=10
25: 2002/3/15  周涨=-4.26  HR=0.22  ZA周=14  ZC周=11
26: 2002/3/22  周涨=1.64  HR=4.22  ZA周=15  ZC周=12
27: 2002/3/29  周涨=-3.46  HR=0.92  ZA周=-1  ZC周=13
28: 2002/4/5  周涨=0.24  HR=1.91  ZA周=-2  ZC周=14
29: 2002/4/12  周涨=1.9  HR=2.38  ZA周=1  ZC周=15
