主期,周涨,PR,HR,WXAB,波型,柱排周,盈提示,WXCD,ZA周,ZC周,周龄,周键
2026/4/17,-8.86,-8.86,20,z丁↘忑-1.Y,5蛀.__Aa龙猪._初,错.未赋值,,屎降z↘,-1,-1,1,True
2026/4/24,-20.06,-20.06,-2.13,z丁↘忑-2.Z-2,5蛀.__Aa龙猪._初,跌.尾连vW.W2,,屎降z↘,-2,-2,2,True
2026/4/30,-3.87,-3.87,1.12,z丁↘忑-3.Z-3,5蛀.__Fa震正〇._初,跌.尾连WW.W3,,屎降z↘,-3,-3,3,True
2026/5/8,11.1,11.1,11.66,z丁↘忑-4.Z-4,8姖.__Fa震正〇._初,(跌)人.连后吞WO,,屎降z↘,-4,-4,4,True
2026/5/15,-6.77,-6.77,1.38,z丁↘忑-5.Z-5,8姖.__Fa震正〇._主,(跌)人.连后吞WOv,,屎降z↘,-5,-5,5,True
2026/5/22,5.34,5.34,11.12,z丁↘忑-6.Z-6,8姖.__Fa震正〇._主,(人)人.孕孕vo,,屎降z↘,-6,-6,6,True
2026/5/29,-18.47,-18.47,-0.59,z丁↘忑-7.Z-7,8姖.__Fa震正〇._主,跌.尾吞oV,,屎降z↘,-7,-7,7,True
2026/6/5,-1.38,-1.38,2.85,z丁↘忑-8.Z-8,9妩.__Fa震正〇._主,跌.尾连VW.W2,,屎降z↘,-8,-8,8,True
2026/6/12,-8.11,-8.11,0.5,z丁↘忑-9.Z-9,9妩.__Fa震正〇._主,跌.尾连WW.W3,,屎降z↘,-9,-9,9,True
2026/6/18,6.06,6.06,6.39,z丁↘忑-10.Z-10,9妩.__Fa震正〇._主,跌.尾反孕Wo,,屎降z↘,-10,-10,10,True
2026/6/26,-9.31,-9.31,1.83,z丁↘忑-11.Z-11,9妩.__Aa龙猪._主,跌.尾吞oV,,屎降z↘,-11,-11,11,True
2026/7/3,8.79,8.79,10.06,z丁↘忑-12.Z-12,9妩.__Aa龙猪._主,跌.尾反孕oVo,,屎降z↘,-12,-12,12,True
2026/7/10,-7.15,-7.15,0.33,z丁↘忑-13.Z-13,9妩.__Aa龙猪._主,(跌)人.孕孕ov,,屎降z↘,-13,-13,13,True
