主期,周涨,PR,HR,WXAB,波型,柱排周,盈提示,WXCD,ZA周,ZC周,周龄,周键
2026/3/20,-2.56,-2.56,0.82,z丁↘忑-1.Y,5蛀.__Aa龙猪._初,错.未赋值,,屎降z↘,-1,-1,1,True
2026/3/27,-0.32,-0.32,0.53,z丁↘忑-2.Z-2,5蛀.__Aa龙猪._初,跌.尾连vW.W2,,屎降z↘,-2,-2,2,True
2026/4/3,-1.58,-1.58,1.05,z丁↘忑-3.Z-3,5蛀.__Fa震正〇._初,跌.尾连WW.W3,,屎降z↘,-3,-3,3,True
2026/4/10,2.57,2.57,3.21,z丁↘忑-4.Z-4,8姖.__Fa震正〇._初,(跌)人.连后吞WO,,屎降z↘,-4,-4,4,True
2026/4/17,-0.94,-0.94,0.21,z丁↘忑-5.Z-5,8姖.__Fa震正〇._主,(跌)人.连后吞WOv,,屎降z↘,-5,-5,5,True
2026/4/24,-0.84,-0.84,0,z丁↘忑-6.Z-6,8姖.__Fa震正〇._主,跌.尾连vW.W2,,屎降z↘,-6,-6,6,True
2026/4/30,1.49,1.49,2.23,y戊↘忠-7.I,4蛀.__Fe震正根._主,(跌)人.连后吞WO,,屎降y↘,1,-7,7,True
2026/5/8,-1.15,-1.15,0.1,y戊↘忑-8.Y暂,5暂.__Fa震正〇._主,(跌)人.连后吞WOv,,屎降y↘,-1,-8,8,True
2026/5/15,-2.22,-2.22,0.74,y戊↘忑-9.Z-2暂,5暂.__Fa震正〇._主,跌.尾连vW.W2,,屎降y↘,-2,-9,9,True
2026/5/22,-3.03,-3.03,0,y戊↘忑-10.Z-3暂,5暂.__Aa龙猪._主,跌.尾连WW.W3,,屎降y↘,-3,-10,10,True
2026/5/29,-1.34,-1.34,0.22,y戊↘忑-11.Z-4,9妩.__Aa龙猪._主,跌.尾连WW.W4,,屎降y↘,-4,-11,11,True
2026/6/5,-2.04,-2.04,0.79,y戊↘忑-12.Z-5,9妩.__Aa龙猪._主,跌.尾连WW.W5,,屎降y↘,-5,-12,12,True
2026/6/12,-1.73,-1.73,0,y戊↘忑-13.Z-6,9妩.__Aa龙猪._主,跌.尾连WW.W6,,屎降y↘,-6,-13,13,True
2026/6/18,-3.53,-3.53,0.59,y戊↘忑-14.Z-7,9妩.__Aa龙猪._主,跌.尾连WW.W7,,屎降y↘,-7,-14,14,True
2026/6/26,-5.85,-5.85,1.1,y戊↘忑-15.Z-8,9妩.__Aa龙猪._主,跌.尾连WW.W8,,屎降y↘,-8,-15,15,True
2026/7/3,3.11,3.11,3.37,y戊↘忑-16.Z-9,9妩.__Aa龙猪._主,跌.尾反孕Wo,,屎降y↘,-9,-16,16,True
2026/7/10,-0.38,-0.38,1.63,y戊↘忑-17.Z-10,9妩.__Aa龙猪._主,(跌)人.孕孕ov,,屎降y↘,-10,-17,17,True
