DXEF,DXCD,DXAB,市板,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR
金,上,上,全量,2835950,99.8,98.0,82.4,86.1,59.2,39.2,2.31,1.39
金,上,上,Qd,2835950,99.8,98.0,82.4,88.8,35.1,13.8,2.31,1.39
金,上,上,Qe,2835950,99.8,98.0,82.4,82.1,36.5,15.9,2.31,1.39
金,上,上,Qif,2835950,99.8,98.0,82.4,85.3,62.6,41.8,2.31,1.39
金,上,上,Qic,2835950,99.8,98.0,82.4,86.6,66.5,46.2,2.31,1.39
金,上,上,Qimit,2835950,99.8,98.0,82.4,86.0,66.2,47.0,2.31,1.39
金,上,上,Qin,2835950,99.8,98.0,82.4,86.7,66.3,46.5,2.31,1.39
金,上,中,全量,592158,99.3,92.9,29.8,86.8,61.0,38.4,2.1,1.43
金,上,中,Qd,592158,99.3,92.9,29.8,87.1,37.2,14.5,2.1,1.43
金,上,中,Qe,592158,99.3,92.9,29.8,81.9,38.0,15.5,2.1,1.43
金,上,中,Qif,592158,99.3,92.9,29.8,86.3,62.3,39.2,2.1,1.43
金,上,中,Qic,592158,99.3,92.9,29.8,87.6,66.5,43.6,2.1,1.43
金,上,中,Qimit,592158,99.3,92.9,29.8,87.3,66.5,44.2,2.1,1.43
金,上,中,Qin,592158,99.3,92.9,29.8,87.5,66.3,43.6,2.1,1.43
金,上,下,全量,413672,98.1,73.4,15.9,87.2,61.6,37.8,2.01,1.43
金,上,下,Qd,413672,98.1,73.4,15.9,87.1,39.6,15.1,2.01,1.43
金,上,下,Qe,413672,98.1,73.4,15.9,83.3,40.9,16.5,2.01,1.43
金,上,下,Qif,413672,98.1,73.4,15.9,86.3,62.6,38.7,2.01,1.43
金,上,下,Qic,413672,98.1,73.4,15.9,87.9,66.7,42.5,2.01,1.43
金,上,下,Qimit,413672,98.1,73.4,15.9,87.7,66.9,43.6,2.01,1.43
金,上,下,Qin,413672,98.1,73.4,15.9,87.8,66.9,42.9,2.01,1.43
金,上,忐,全量,174052,99.5,85.9,81.1,86.2,57.8,36.2,2.05,1.3
金,上,忐,Qd,174052,99.5,85.9,81.1,87.1,33.2,11.2,2.05,1.3
金,上,忐,Qe,174052,99.5,85.9,81.1,79.9,32.5,12.0,2.05,1.3
金,上,忐,Qif,174052,99.5,85.9,81.1,84.5,58.3,36.3,2.05,1.3
金,上,忐,Qic,174052,99.5,85.9,81.1,87.1,64.6,42.3,2.05,1.3
金,上,忐,Qimit,174052,99.5,85.9,81.1,86.8,64.3,43.0,2.05,1.3
金,上,忐,Qin,174052,99.5,85.9,81.1,87.5,64.5,42.7,2.05,1.3
金,上,忠,全量,52107,99.3,76.3,65.0,84.6,56.4,35.4,1.96,1.25
金,上,忠,Qd,52107,99.3,76.3,65.0,84.7,34.6,13.0,1.96,1.25
金,上,忠,Qe,52107,99.3,76.3,65.0,76.6,32.8,12.2,1.96,1.25
金,上,忠,Qif,52107,99.3,76.3,65.0,82.8,57.5,36.8,1.96,1.25
金,上,忠,Qic,52107,99.3,76.3,65.0,85.6,62.9,41.0,1.96,1.25
金,上,忠,Qimit,52107,99.3,76.3,65.0,85.9,62.7,42.0,1.96,1.25
金,上,忠,Qin,52107,99.3,76.3,65.0,86.2,62.2,41.5,1.96,1.25
金,上,忑,全量,183943,99.0,66.9,28.6,85.9,58.6,36.4,1.98,1.33
金,上,忑,Qd,183943,99.0,66.9,28.6,84.7,38.6,15.0,1.98,1.33
金,上,忑,Qe,183943,99.0,66.9,28.6,80.5,37.7,15.7,1.98,1.33
金,上,忑,Qif,183943,99.0,66.9,28.6,84.7,58.9,36.1,1.98,1.33
金,上,忑,Qic,183943,99.0,66.9,28.6,86.6,63.2,41.4,1.98,1.33
金,上,忑,Qimit,183943,99.0,66.9,28.6,86.7,63.5,41.7,1.98,1.33
金,上,忑,Qin,183943,99.0,66.9,28.6,87.0,63.5,41.0,1.98,1.33
金,中,上,全量,9430,99.1,38.7,38.7,83.9,51.7,29.6,1.69,1.05
金,中,上,Qd,9430,99.1,38.7,38.7,84.5,28.5,9.4,1.69,1.05
金,中,上,Qe,9430,99.1,38.7,38.7,81.7,34.7,12.6,1.69,1.05
金,中,上,Qif,9430,99.1,38.7,38.7,77.1,49.9,27.5,1.69,1.05
金,中,上,Qic,9430,99.1,38.7,38.7,85.5,58.4,36.0,1.69,1.05
金,中,上,Qimit,9430,99.1,38.7,38.7,84.5,58.2,36.0,1.69,1.05
金,中,上,Qin,9430,99.1,38.7,38.7,85.5,58.9,35.7,1.69,1.05
金,中,中,全量,3983,98.2,32.3,29.1,84.4,53.4,30.6,1.67,1.11
金,中,中,Qd,3983,98.2,32.3,29.1,84.3,32.0,9.6,1.67,1.11
金,中,中,Qe,3983,98.2,32.3,29.1,80.8,30.9,9.8,1.67,1.11
金,中,中,Qif,3983,98.2,32.3,29.1,82.5,56.3,33.3,1.67,1.11
金,中,中,Qic,3983,98.2,32.3,29.1,86.1,64.8,38.7,1.67,1.11
金,中,中,Qimit,3983,98.2,32.3,29.1,84.2,59.1,36.9,1.67,1.11
金,中,中,Qin,3983,98.2,32.3,29.1,86.8,59.0,35.6,1.67,1.11
金,中,下,全量,77256,94.2,20.9,9.7,86.2,59.4,34.8,1.85,1.32
金,中,下,Qd,77256,94.2,20.9,9.7,86.1,37.4,12.5,1.85,1.32
金,中,下,Qe,77256,94.2,20.9,9.7,80.8,36.0,13.7,1.85,1.32
金,中,下,Qif,77256,94.2,20.9,9.7,85.4,59.5,34.2,1.85,1.32
金,中,下,Qic,77256,94.2,20.9,9.7,86.7,63.5,38.6,1.85,1.32
金,中,下,Qimit,77256,94.2,20.9,9.7,86.9,65.5,40.7,1.85,1.32
金,中,下,Qin,77256,94.2,20.9,9.7,87.4,65.8,40.9,1.85,1.32
金,中,忐,全量,47647,99.4,44.9,44.9,85.2,55.3,34.0,1.89,1.2
金,中,忐,Qd,47647,99.4,44.9,44.9,85.8,31.2,11.5,1.89,1.2
金,中,忐,Qe,47647,99.4,44.9,44.9,81.1,32.6,11.0,1.89,1.2
金,中,忐,Qif,47647,99.4,44.9,44.9,83.8,56.5,34.1,1.89,1.2
金,中,忐,Qic,47647,99.4,44.9,44.9,85.4,61.8,39.3,1.89,1.2
金,中,忐,Qimit,47647,99.4,44.9,44.9,85.6,60.8,40.0,1.89,1.2
金,中,忐,Qin,47647,99.4,44.9,44.9,86.5,61.9,39.9,1.89,1.2
金,中,忠,全量,103331,99.1,30.0,30.0,85.1,55.0,33.0,1.85,1.17
金,中,忠,Qd,103331,99.1,30.0,30.0,85.8,33.2,10.4,1.85,1.17
金,中,忠,Qe,103331,99.1,30.0,30.0,82.0,33.8,11.6,1.85,1.17
金,中,忠,Qif,103331,99.1,30.0,30.0,83.3,55.3,33.0,1.85,1.17
金,中,忠,Qic,103331,99.1,30.0,30.0,85.2,60.0,36.9,1.85,1.17
金,中,忠,Qimit,103331,99.1,30.0,30.0,85.4,59.8,38.3,1.85,1.17
金,中,忠,Qin,103331,99.1,30.0,30.0,86.3,60.2,38.4,1.85,1.17
金,中,忑,全量,662167,98.2,14.6,10.8,86.6,59.7,35.8,1.9,1.35
金,中,忑,Qd,662167,98.2,14.6,10.8,84.3,38.7,14.4,1.9,1.35
金,中,忑,Qe,662167,98.2,14.6,10.8,81.6,38.7,15.5,1.9,1.35
金,中,忑,Qif,662167,98.2,14.6,10.8,85.5,60.0,36.0,1.9,1.35
金,中,忑,Qic,662167,98.2,14.6,10.8,87.2,64.2,40.1,1.9,1.35
金,中,忑,Qimit,662167,98.2,14.6,10.8,87.5,64.5,40.6,1.9,1.35
金,中,忑,Qin,662167,98.2,14.6,10.8,87.6,64.5,40.3,1.9,1.35
金,下,上,全量,4021,97.0,29.9,29.9,86.1,54.8,32.2,1.77,1.16
金,下,上,Qd,4021,97.0,29.9,29.9,86.7,40.3,17.0,1.77,1.16
金,下,上,Qe,4021,97.0,29.9,29.9,83.9,39.4,15.4,1.77,1.16
金,下,上,Qif,4021,97.0,29.9,29.9,83.3,59.0,34.8,1.77,1.16
金,下,上,Qic,4021,97.0,29.9,29.9,84.7,61.0,37.6,1.77,1.16
金,下,上,Qimit,4021,97.0,29.9,29.9,86.4,59.7,37.6,1.77,1.16
金,下,上,Qin,4021,97.0,29.9,29.9,88.4,59.3,37.9,1.77,1.16
金,下,中,全量,1420,94.3,24.1,23.6,86.1,54.9,32.3,1.74,1.17
金,下,中,Qd,1420,94.3,24.1,23.6,90.3,40.3,10.4,1.74,1.17
金,下,中,Qe,1420,94.3,24.1,23.6,84.4,42.6,17.7,1.74,1.17
金,下,中,Qif,1420,94.3,24.1,23.6,86.6,50.9,26.8,1.74,1.17
金,下,中,Qic,1420,94.3,24.1,23.6,86.2,53.8,33.1,1.74,1.17
金,下,中,Qimit,1420,94.3,24.1,23.6,84.3,59.1,37.4,1.74,1.17
金,下,中,Qin,1420,94.3,24.1,23.6,88.5,60.5,40.5,1.74,1.17
金,下,下,全量,21334,71.5,12.4,9.0,85.5,56.9,33.0,1.83,1.22
金,下,下,Qd,21334,71.5,12.4,9.0,83.6,31.9,12.2,1.83,1.22
金,下,下,Qe,21334,71.5,12.4,9.0,77.0,30.7,12.2,1.83,1.22
金,下,下,Qif,21334,71.5,12.4,9.0,86.6,56.7,31.8,1.83,1.22
金,下,下,Qic,21334,71.5,12.4,9.0,87.0,63.0,37.7,1.83,1.22
金,下,下,Qimit,21334,71.5,12.4,9.0,86.8,63.5,38.4,1.83,1.22
金,下,下,Qin,21334,71.5,12.4,9.0,86.9,63.8,38.8,1.83,1.22
金,下,忐,全量,23839,96.9,25.7,25.7,84.6,54.9,32.6,1.83,1.17
金,下,忐,Qd,23839,96.9,25.7,25.7,83.2,34.9,12.5,1.83,1.17
金,下,忐,Qe,23839,96.9,25.7,25.7,77.3,35.8,13.3,1.83,1.17
金,下,忐,Qif,23839,96.9,25.7,25.7,82.7,54.9,32.9,1.83,1.17
金,下,忐,Qic,23839,96.9,25.7,25.7,86.0,60.4,37.1,1.83,1.17
金,下,忐,Qimit,23839,96.9,25.7,25.7,85.7,59.7,37.6,1.83,1.17
金,下,忐,Qin,23839,96.9,25.7,25.7,86.0,60.0,37.7,1.83,1.17
金,下,忠,全量,96829,89.4,8.6,8.6,84.4,54.4,32.1,1.8,1.15
金,下,忠,Qd,96829,89.4,8.6,8.6,84.4,33.4,11.8,1.8,1.15
金,下,忠,Qe,96829,89.4,8.6,8.6,80.0,35.7,12.1,1.8,1.15
金,下,忠,Qif,96829,89.4,8.6,8.6,82.7,55.8,33.0,1.8,1.15
金,下,忠,Qic,96829,89.4,8.6,8.6,83.9,59.1,36.7,1.8,1.15
金,下,忠,Qimit,96829,89.4,8.6,8.6,84.9,58.6,36.5,1.8,1.15
金,下,忠,Qin,96829,89.4,8.6,8.6,85.6,59.8,37.2,1.8,1.15
金,下,忑,全量,890297,60.5,2.0,2.0,86.8,60.2,36.0,1.9,1.37
金,下,忑,Qd,890297,60.5,2.0,2.0,85.1,40.9,16.8,1.9,1.37
金,下,忑,Qe,890297,60.5,2.0,2.0,82.3,41.2,18.7,1.9,1.37
金,下,忑,Qif,890297,60.5,2.0,2.0,85.3,58.8,35.0,1.9,1.37
金,下,忑,Qic,890297,60.5,2.0,2.0,86.9,63.5,39.3,1.9,1.37
金,下,忑,Qimit,890297,60.5,2.0,2.0,87.7,64.3,39.8,1.9,1.37
金,下,忑,Qin,890297,60.5,2.0,2.0,87.7,64.9,40.8,1.9,1.37
金,忐,上,全量,265004,97.4,95.1,85.1,86.3,57.5,35.7,2.05,1.28
金,忐,上,Qd,265004,97.4,95.1,85.1,86.0,32.3,10.2,2.05,1.28
金,忐,上,Qe,265004,97.4,95.1,85.1,80.2,33.9,12.0,2.05,1.28
金,忐,上,Qif,265004,97.4,95.1,85.1,85.4,59.0,36.3,2.05,1.28
金,忐,上,Qic,265004,97.4,95.1,85.1,86.8,62.9,41.1,2.05,1.28
金,忐,上,Qimit,265004,97.4,95.1,85.1,86.7,62.9,41.3,2.05,1.28
金,忐,上,Qin,265004,97.4,95.1,85.1,87.4,63.5,41.4,2.05,1.28
金,忐,中,全量,30720,82.3,75.9,30.8,88.4,59.2,34.5,1.91,1.31
金,忐,中,Qd,30720,82.3,75.9,30.8,89.1,31.3,9.9,1.91,1.31
金,忐,中,Qe,30720,82.3,75.9,30.8,82.9,34.8,11.5,1.91,1.31
金,忐,中,Qif,30720,82.3,75.9,30.8,86.7,60.0,34.9,1.91,1.31
金,忐,中,Qic,30720,82.3,75.9,30.8,88.5,64.0,39.3,1.91,1.31
金,忐,中,Qimit,30720,82.3,75.9,30.8,88.7,63.9,38.8,1.91,1.31
金,忐,中,Qin,30720,82.3,75.9,30.8,89.2,64.1,38.7,1.91,1.31
金,忐,下,全量,6655,60.8,50.5,18.8,87.5,59.1,34.6,1.9,1.31
金,忐,下,Qd,6655,60.8,50.5,18.8,85.7,32.4,12.8,1.9,1.31
金,忐,下,Qe,6655,60.8,50.5,18.8,79.8,30.0,7.8,1.9,1.31
金,忐,下,Qif,6655,60.8,50.5,18.8,85.0,58.2,31.5,1.9,1.31
金,忐,下,Qic,6655,60.8,50.5,18.8,88.9,65.1,39.3,1.9,1.31
金,忐,下,Qimit,6655,60.8,50.5,18.8,87.9,62.9,38.5,1.9,1.31
金,忐,下,Qin,6655,60.8,50.5,18.8,88.9,65.6,39.6,1.9,1.31
金,忐,忐,全量,5228,94.3,84.9,84.3,85.8,58.7,36.9,2.13,1.34
金,忐,忐,Qd,5228,94.3,84.9,84.3,84.2,34.8,15.1,2.13,1.34
金,忐,忐,Qe,5228,94.3,84.9,84.3,66.8,28.7,13.2,2.13,1.34
金,忐,忐,Qif,5228,94.3,84.9,84.3,86.6,60.3,36.7,2.13,1.34
金,忐,忐,Qic,5228,94.3,84.9,84.3,89.0,64.4,38.3,2.13,1.34
金,忐,忐,Qimit,5228,94.3,84.9,84.3,86.6,64.0,42.6,2.13,1.34
金,忐,忐,Qin,5228,94.3,84.9,84.3,90.4,66.9,43.7,2.13,1.34
金,忐,忠,全量,161,72.0,60.2,57.1,83.2,55.9,32.3,1.77,1.22
金,忐,忠,Qd,161,72.0,60.2,57.1,100.0,61.5,38.5,1.77,1.22
金,忐,忠,Qe,161,72.0,60.2,57.1,80.0,30.0,10.0,1.77,1.22
金,忐,忠,Qif,161,72.0,60.2,57.1,62.5,37.5,37.5,1.77,1.22
金,忐,忠,Qic,161,72.0,60.2,57.1,92.3,46.2,30.8,1.77,1.22
金,忐,忠,Qimit,161,72.0,60.2,57.1,83.3,59.5,36.9,1.77,1.22
金,忐,忠,Qin,161,72.0,60.2,57.1,78.8,60.6,24.2,1.77,1.22
金,忐,忑,全量,398,65.3,56.0,41.2,86.7,57.5,32.9,1.71,1.24
金,忐,忑,Qd,398,65.3,56.0,41.2,83.0,34.0,10.6,1.71,1.24
金,忐,忑,Qe,398,65.3,56.0,41.2,71.4,35.7,14.3,1.71,1.24
金,忐,忑,Qif,398,65.3,56.0,41.2,80.0,36.0,16.0,1.71,1.24
金,忐,忑,Qic,398,65.3,56.0,41.2,89.3,67.9,42.9,1.71,1.24
金,忐,忑,Qimit,398,65.3,56.0,41.2,88.7,65.5,41.8,1.71,1.24
金,忐,忑,Qin,398,65.3,56.0,41.2,87.9,59.8,31.8,1.71,1.24
金,忠,上,全量,29874,88.6,71.6,68.7,86.5,54.6,32.3,1.81,1.15
金,忠,上,Qd,29874,88.6,71.6,68.7,88.5,32.7,11.2,1.81,1.15
金,忠,上,Qe,29874,88.6,71.6,68.7,80.2,28.9,10.9,1.81,1.15
金,忠,上,Qif,29874,88.6,71.6,68.7,82.3,53.3,33.6,1.81,1.15
金,忠,上,Qic,29874,88.6,71.6,68.7,85.4,59.0,36.7,1.81,1.15
金,忠,上,Qimit,29874,88.6,71.6,68.7,87.3,61.0,37.8,1.81,1.15
金,忠,上,Qin,29874,88.6,71.6,68.7,87.9,61.8,37.9,1.81,1.15
金,忠,中,全量,8960,69.1,52.2,30.3,87.1,55.7,32.0,1.76,1.18
金,忠,中,Qd,8960,69.1,52.2,30.3,87.5,34.5,13.0,1.76,1.18
金,忠,中,Qe,8960,69.1,52.2,30.3,82.6,30.0,8.5,1.76,1.18
金,忠,中,Qif,8960,69.1,52.2,30.3,83.3,53.8,30.8,1.76,1.18
金,忠,中,Qic,8960,69.1,52.2,30.3,84.5,59.2,35.5,1.76,1.18
金,忠,中,Qimit,8960,69.1,52.2,30.3,88.3,59.8,36.2,1.76,1.18
金,忠,中,Qin,8960,69.1,52.2,30.3,87.6,62.5,36.5,1.76,1.18
金,忠,下,全量,5662,48.5,35.6,17.4,86.9,56.0,31.7,1.71,1.19
金,忠,下,Qd,5662,48.5,35.6,17.4,87.1,30.2,10.5,1.71,1.19
金,忠,下,Qe,5662,48.5,35.6,17.4,80.5,28.4,7.9,1.71,1.19
金,忠,下,Qif,5662,48.5,35.6,17.4,83.5,51.4,31.2,1.71,1.19
金,忠,下,Qic,5662,48.5,35.6,17.4,87.0,61.1,36.7,1.71,1.19
金,忠,下,Qimit,5662,48.5,35.6,17.4,87.2,61.7,35.5,1.71,1.19
金,忠,下,Qin,5662,48.5,35.6,17.4,89.2,62.9,37.9,1.71,1.19
金,忠,忐,全量,4655,90.3,74.3,74.3,86.3,56.3,34.3,1.95,1.23
金,忠,忐,Qd,4655,90.3,74.3,74.3,89.4,38.1,14.0,1.95,1.23
金,忠,忐,Qe,4655,90.3,74.3,74.3,76.6,27.4,8.1,1.95,1.23
金,忠,忐,Qif,4655,90.3,74.3,74.3,86.6,54.9,32.5,1.95,1.23
金,忠,忐,Qic,4655,90.3,74.3,74.3,86.0,60.9,38.3,1.95,1.23
