代码,命分,算术均值,最大收益,胜率,交易次数,备注
bj920000,0,21.42,198.55,57.1,7,
bj920001,36.59,52.59,158.94,66.7,3,
bj920002,45.02,56.98,117.08,50.0,2,
bj920005,0,0,0,0,0,从未进入金升多长
bj920006,0,-0.73,32.93,33.3,3,
bj920007,0,-22.65,-22.65,0.0,1,
bj920008,22.68,22.76,27.17,100.0,2,
bj920010,13.95,25.59,166.7,60.0,10,
bj920014,2.55,3.12,18.46,50.0,4,
bj920015,9.22,9.92,22.32,50.0,2,
bj920016,3.88,7.57,48.17,33.3,3,
bj920017,4.13,4.82,31.62,50.0,6,
bj920018,0,0,0,0,0,从未进入金升多长
bj920019,0,-14.85,-14.85,0.0,1,
bj920021,0,1.62,34.72,50.0,8,
bj920022,0,-29.48,-29.48,0.0,1,
bj920023,0,-3.54,1.29,25.0,4,
bj920026,1.08,3.58,44.55,50.0,6,
bj920027,0,0,0,0,0,从未进入金升多长
bj920029,5.77,6.64,25.94,66.7,3,
bj920030,0,13.13,118.94,54.5,11,
bj920033,10.29,13.42,63.39,25.0,4,
bj920037,14.7,19.37,69.29,33.3,3,
bj920039,10.71,15.12,77.82,53.8,13,
bj920046,25.4,30.77,100.56,66.7,6,
bj920047,0,-2.3,78.06,41.7,12,
bj920056,0,-17.99,-17.99,0.0,1,
bj920057,5.72,7.94,43.99,40.0,5,
bj920058,0,2.63,44.7,33.3,3,
bj920060,0,0,0,0,0,从未进入金升多长
bj920061,0,-1.94,-1.94,0.0,1,
bj920062,7.35,8.29,37.69,71.4,7,
bj920066,0,0,0,0,0,从未进入金升多长
bj920068,0,-4.6,1.17,20.0,5,
bj920075,11.66,23.16,144.39,60.0,5,
bj920077,40.81,148.72,1044.43,28.6,7,
bj920080,0,-15.83,-15.83,0.0,1,
bj920082,0,-6.83,-6.83,0.0,1,
bj920087,10.59,12.94,55.97,50.0,6,
bj920088,4.0,6.6,30.0,50.0,2,
bj920089,0,-4.7,57.97,50.0,8,
bj920090,0,-24.78,135.26,30.8,13,
bj920092,15.0,22.66,146.03,71.4,7,
bj920098,0,-25.98,-25.98,0.0,1,
bj920099,7.2,7.77,24.92,50.0,4,
bj920100,2.75,2.75,2.75,100.0,1,
bj920101,0,0,0,0,0,从未进入金升多长
bj920106,16.26,19.62,47.73,50.0,2,
bj920108,12.26,12.51,20.02,100.0,2,
bj920110,6.67,16.4,160.09,28.6,7,
bj920111,0,-4.59,2.46,40.0,5,
bj920112,0,0,0,0,0,从未进入金升多长
bj920116,13.33,20.33,103.47,40.0,5,
bj920118,0,-1.92,5.93,66.7,3,
bj920122,53.68,70.02,180.79,66.7,3,
bj920123,0,3.0,61.78,33.3,3,
bj920128,0,-24.26,-24.26,0.0,1,
bj920130,21.66,29.23,92.41,66.7,3,
bj920132,0,-2.95,37.4,33.3,3,
bj920139,0,-2.03,17.42,42.9,7,
bj920145,11.11,23.51,128.49,50.0,4,
bj920146,0,-2.83,52.77,37.5,8,
bj920149,0,-6.39,101.81,50.0,14,
bj920152,42.14,52.81,139.32,100.0,3,
bj920158,0,0,0,0,0,从未进入金升多长
bj920163,12.75,19.62,143.39,37.5,8,
bj920167,33.92,113.01,895.82,50.0,8,
bj920169,23.3,33.46,121.31,50.0,6,
bj920171,56.05,110.68,252.23,50.0,2,
bj920174,36.2,69.06,199.03,75.0,4,
bj920175,0,-11.19,-0.17,0.0,8,
bj920179,0.45,1.51,23.01,50.0,6,
bj920184,0,10.97,207.55,55.6,9,
bj920185,18.71,40.56,251.59,33.3,9,
bj920190,0,3.15,82.91,14.3,7,
bj920195,9.73,11.61,38.51,50.0,4,
bj920198,0,-12.8,15.11,45.5,11,
bj920199,17.49,20.16,67.25,100.0,4,
bj920204,13.69,23.2,155.05,33.3,6,
bj920207,10.49,25.26,163.82,40.0,5,
bj920208,5.01,5.67,26.79,50.0,4,
bj920212,4.43,14.74,152.97,28.6,7,
bj920221,18.49,20.13,41.75,75.0,4,
bj920223,19.37,38.72,179.38,60.0,5,
bj920225,37.93,55.04,162.22,60.0,10,
bj920227,11.06,26.43,198.03,33.3,6,
bj920230,3.65,6.46,35.99,66.7,6,
bj920237,16.83,28.46,180.07,50.0,6,
bj920239,149.41,294.15,805.2,66.7,3,
bj920242,22.06,33.57,144.94,66.7,6,
bj920245,19.56,33.23,178.43,40.0,5,
bj920247,18.8,26.82,149.04,37.5,8,
bj920249,13.47,20.41,99.4,25.0,4,
bj920252,46.86,66.14,208.9,75.0,4,
bj920260,25.93,38.81,97.21,50.0,2,
bj920261,7.55,9.69,49.87,25.0,4,
bj920262,20.18,29.35,161.66,83.3,6,
bj920263,16.07,22.11,106.06,62.5,8,
bj920266,2.74,3.46,44.89,50.0,14,
bj920267,4.2,7.89,68.31,28.6,7,
bj920270,13.4,17.92,87.19,57.1,7,
bj920271,2.68,4.6,62.07,33.3,9,
bj920273,67.49,113.83,246.77,50.0,2,
bj920274,13.97,26.21,124.48,50.0,4,
bj920275,10.95,15.92,109.82,37.5,8,
bj920278,23.69,61.11,587.31,54.5,11,
bj920284,1.31,16.23,73.18,50.0,2,
bj920299,33.8,47.29,167.28,75.0,4,
bj920300,2.45,5.22,43.5,33.3,6,
bj920304,8.03,13.0,128.39,22.2,9,
bj920305,0,-7.72,19.96,25.0,8,
bj920339,2.72,8.63,71.5,25.0,4,
bj920344,9.83,37.08,409.87,50.0,10,
bj920346,19.85,33.48,152.92,50.0,4,
bj920351,34.64,68.15,288.88,25.0,4,
bj920357,7.73,8.69,48.35,70.0,10,
bj920363,0,2.89,61.39,25.0,4,
bj920367,0,5.39,66.2,50.0,4,
bj920368,0,242.87,1170.9,28.6,7,
bj920370,4.36,5.91,41.07,50.0,8,
bj920371,13.45,23.68,160.83,50.0,6,
bj920374,35.33,69.87,237.18,33.3,3,
bj920375,0,1.42,23.49,50.0,2,
bj920378,25.85,47.12,208.03,25.0,4,
bj920392,59.11,113.34,350.85,33.3,3,
bj920394,18.34,23.95,126.8,57.1,7,
bj920395,27.91,47.32,158.9,66.7,3,
bj920396,25.7,41.71,287.41,77.8,9,
bj920402,0,-5.31,11.67,20.0,10,
bj920403,14.3,17.71,70.9,50.0,4,
