名称	编码
连阳|触高|宽	9G98
连阳|触高|宽高	9G98
连阳|触高|宽高连3	9G98
升吞|触高|宽高	9G97
升吞|触高|宽	9G96
连阳|触高|高	9G95
升吞|触高|高	9G95
阴阳阴|触高|宽高	9G94
连阳|离撤|宽高连3	9G94
连阳|触高|连3	9G93
升反孕|触高|宽高	9G93
升吞|离撤|高	9G93
阴阳阴|触高|高	9G92
孕孕|触高|宽	9G92
连阳|离撤|高	9G91
升反孕|离撤|宽高	9G91
升反孕|触高|宽	9G91
连阳|触高|其他	9G91
阴阳阴|离撤|宽高	9G91
升吞|离撤|宽高	9G91
连阳|离撤|宽高	9G91
孕孕|离撤|宽高	9G91
其他|触高|高	9G90
其他|触高|宽高	9G90
连阳|离撤|宽	8G89
升吞|离撤|宽	8G89
阴阳阴|离撤|高	8G89
升吞|其他|高	8G89
升吞|触高|其他	8G88
升反孕|离撤|宽	8G88
其他|离撤|高	8G87
连阳|离撤|连3	8G87
孕孕|触高|宽高	8G85
升吞|离撤|其他	8G84
连阳|离撤|其他	8G83
孕孕|离撤|宽	8G82
孕孕|离撤|高	8G82
其他|离撤|宽高	8G82
阴阳阴|其他|高	8G81
其他|其他|高	8G80
阴阳阴|触高|其他	8G80
连跌|触高|宽	7G79
升反孕|触高|其他	7G79
连阳|其他|连3	7G79
其他|触高|宽	7G78
连阳|其他|宽高连3	7G78
阴阳阴|其他|宽高	7G78
孕孕|触高|高	7G77
升反孕|离撤|其他	7G76
阴阳阴|触高|宽	7G76
连阳|其他|高	7G76
其他|其他|宽高	7G76
升吞|其他|其他	7G75
连阳|其他|其他	7G75
其他|触高|其他	7G74
升吞|其他|宽	7G73
其他|离撤|宽	7G73
孕孕|触高|其他	7G73
连阳|其他|宽	7G72
连阳|其他|宽高	7G72
升反孕|触高|高	7G72
孕孕|离撤|其他	7G71
跌反孕|离撤|高	7G71
阴阳阴|离撤|宽	7G70
阴阳阴|其他|其他	6G69
阴阳阴|离撤|其他	6G69
连跌|触高|宽高	6G69
跌反孕|其他|宽高	6G68
其他|其他|其他	6G68
孕孕|其他|宽	6G67
其他|离撤|其他	6G67
跌反孕|离撤|宽	6G66
升反孕|其他|其他	6G65
跌反孕|离撤|宽高	6G65
阴阳阴|其他|宽	6G63
连跌|触高|其他	6G63
跌反孕|离撤|其他	6G63
其他|其他|宽	6G63
连跌|离撤|宽	6G63
跌反孕|触高|其他	6G62
升反孕|其他|宽	6G62
跌反孕|其他|其他	6G61
孕孕|其他|其他	6G60
连跌|离撤|其他	5G59
连跌|离撤|宽高	5G58
跌反孕|其他|宽	5G57
连跌|其他|其他	5G55
跌吞|离撤|宽	5G54
跌吞|离撤|其他	5G53
连跌|其他|宽	5G52
跌吞|其他|其他	4_49
跌吞|触高|其他	4_49
