名称	编码
唏|丁	_5
唏|丙	_25
唏|乙(ZA>0)	_24
唏|乙(ZA≤0)	W43
唏|己	_12
唏|戊(ZA>0)	W32
唏|戊(ZA≤0)	W53
唏|甲	_17
嘘|丁	_9
嘘|丙	W75
嘘|乙(ZA>0)	W41
嘘|乙(ZA≤0)	W58
嘘|己	_27
嘘|戊(ZA>0)	_29
嘘|戊(ZA≤0)	W76
嘘|甲	W40
尿|丁	_9
尿|丙	W77
尿|乙(ZA>0)	W45
尿|乙(ZA≤0)	W54
尿|己	_26
尿|戊(ZA>0)	_25
尿|戊(ZA≤0)	W84
尿|甲	W38
屎|丁	_11
屎|丙	W58
屎|乙(ZA>0)	W35
屎|乙(ZA≤0)	W52
屎|己	_25
屎|戊(ZA>0)	_28
屎|戊(ZA≤0)	W81
屎|甲	_29
金|丁	_7
金|丙	W34
金|乙(ZA>0)	_20
金|乙(ZA≤0)	W38
金|己	_19
金|戊(ZA>0)	W32
金|戊(ZA≤0)	W63
金|甲	_17
银|丁	_7
银|丙	_19
银|乙(ZA>0)	_17
银|乙(ZA≤0)	W38
银|己	_12
银|戊(ZA>0)	W32
银|戊(ZA≤0)	W66
银|甲	_13
