名称	编码
金|甲	G83
金|乙(ZA>0)	G80
金|乙(ZA≤0)	_28
金|丙	_14
金|丁	_10
金|戊(ZA>0)	_13
金|戊(ZA≤0)	_13
金|己	G56
银|甲	G87
银|乙(ZA>0)	G83
银|乙(ZA≤0)	_28
银|丙	_15
银|丁	_25
银|戊(ZA>0)	_23
银|戊(ZA≤0)	_27
银|己	G72
唏|甲	G83
唏|乙(ZA>0)	G76
唏|乙(ZA≤0)	G30
唏|丙	_17
唏|丁	_20
唏|戊(ZA>0)	_18
唏|戊(ZA≤0)	_21
唏|己	G71
嘘|甲	G60
嘘|乙(ZA>0)	G59
嘘|乙(ZA≤0)	G32
嘘|丙	_8
嘘|丁	_1
嘘|戊(ZA>0)	_4
嘘|戊(ZA≤0)	_2
嘘|己	_25
尿|甲	G62
尿|乙(ZA>0)	G55
尿|乙(ZA≤0)	G34
尿|丙	_9
尿|丁	_0
尿|戊(ZA>0)	_2
尿|戊(ZA≤0)	_1
尿|己	_20
屎|甲	G71
屎|乙(ZA>0)	G65
屎|乙(ZA≤0)	G32
屎|丙	_14
屎|丁	_1
屎|戊(ZA>0)	_3
屎|戊(ZA≤0)	_1
屎|己	G35
