名称	编码
上|甲	_17
上|乙(ZA>0)	_20
上|乙(ZA≤0)	W71
上|丙	W76
上|丁	W78
上|戊(ZA>0)	W34
上|戊(ZA≤0)	W68
上|己	_20
中|甲	W41
中|乙(ZA>0)	W36
中|乙(ZA≤0)	W68
中|丙	W89
中|丁	W93
中|戊(ZA>0)	W32
中|戊(ZA≤0)	W77
中|己	_29
下|甲	W38
下|乙(ZA>0)	W38
下|乙(ZA≤0)	W66
下|丙	W88
下|丁	W97
下|戊(ZA>0)	W31
下|戊(ZA≤0)	W84
下|己	_29
忐|甲	_12
忐|乙(ZA>0)	_17
忐|乙(ZA≤0)	W69
忐|丙	W69
忐|丁	W64
忐|戊(ZA>0)	W38
忐|戊(ZA≤0)	W63
忐|己	_11
忠|甲	_16
忠|乙(ZA>0)	_22
忠|乙(ZA≤0)	W67
忠|丙	W70
忠|丁	W66
忠|戊(ZA>0)	W35
忠|戊(ZA≤0)	W62
忠|己	_11
忑|甲	_25
忑|乙(ZA>0)	W31
忑|乙(ZA≤0)	W64
忑|丙	W78
忑|丁	W95
忑|戊(ZA>0)	_29
忑|戊(ZA≤0)	W81
忑|己	_22
