名称	编码
上|甲	G83
上|乙(ZA>0)	G80
上|乙(ZA≤0)	_29
上|丙	_16
上|丁	_11
上|戊(ZA>0)	_14
上|戊(ZA≤0)	_11
上|己	G56
中|甲	G59
中|乙(ZA>0)	G64
中|乙(ZA≤0)	G32
中|丙	_10
中|丁	_2
中|戊(ZA>0)	_4
中|戊(ZA≤0)	_2
中|己	_27
下|甲	G62
下|乙(ZA>0)	G62
下|乙(ZA≤0)	G34
下|丙	_10
下|丁	_0
下|戊(ZA>0)	_2
下|戊(ZA≤0)	_0
下|己	_22
忐|甲	G88
忐|乙(ZA>0)	G83
忐|乙(ZA≤0)	G31
忐|丙	_19
忐|丁	_23
忐|戊(ZA>0)	_23
忐|戊(ZA≤0)	_20
忐|己	G75
忠|甲	G84
忠|乙(ZA>0)	G78
忠|乙(ZA≤0)	G33
忠|丙	_20
忠|丁	_23
忠|戊(ZA>0)	_22
忠|戊(ZA≤0)	_20
忠|己	G74
忑|甲	G75
忑|乙(ZA>0)	G69
忑|乙(ZA≤0)	G36
忑|丙	_17
忑|丁	_1
忑|戊(ZA>0)	_2
忑|戊(ZA≤0)	_1
忑|己	G36
