代码,股性分,年化,胜率,盈亏比,均单次,震仓,次数,HR涨比,评级
sz300782,258.09604509060364,3.311172859654857,0.4,132.84556777556426,4.610171443057917,2.142857142857143,5,2.103176590722572,🏆仁慈
sh688607,77.79232636361607,0.4194791165128069,1.0,99,2.24259989212616,0.19718309859154928,1,0.6588630339377712,🏆仁慈
sz301075,49.415049813225366,0.5289537707838017,1.0,99,1.2308347358623077,0.30434782608695654,2,0.3371645881597403,🏆仁慈
sz159311,43.577977583564795,0.3976259305937871,0.5,2043.8458778542727,0.19498963904118405,0.8181818181818182,2,0.8617099078890722,🏆仁慈
sz159381,39.88277961611275,0.8596659273462794,1.0,99,0.5538232416557762,0.18181818181818182,2,0.7253023503576148,🏆仁慈
sh603392,36.00162764042723,3.926961126841113,0.1111111111111111,267.9922698609437,2.668319740033064,7.666666666666667,9,0.5724800642461053,🏆仁慈
sz159248,33.26418019000439,0.797087759403621,1.0,99,0.7664305378880971,0.8181818181818182,1,0.41561091180307536,🏆仁慈
bj920942,32.14511505390533,0.48646757130650453,1.0,99,0.860673395388431,0.2894736842105263,2,0.7978555081611101,🏆仁慈
bj920274,28.052445372489778,0.6416428315397268,1.0,99,0.6128511660219186,0.3877551020408163,3,1.7539897810290912,🏆仁慈
sz159261,27.279734878873008,0.5740930704662688,1.0,99,0.5740930704662688,0.19607843137254902,1,1.1665025325952414,🏆仁慈
sh688251,22.9669671088261,0.2731151052185173,1.0,99,1.0977126344359638,0.2923076923076923,1,-0.40116215461175403,🏆仁慈
bj920273,22.24796112644713,0.5018456831817472,1.0,99,0.5597509543181026,0.25,3,1.2537978963356913,🏆仁慈
bj920239,20.77468884528306,1.4934557663612968,0.3333333333333333,49.85885153948608,1.4647354631620413,0.75,6,1.1292378911320604,🏆仁慈
bj920152,19.405968945188324,0.635479709392587,1.0,99,0.4814980875013063,0.5609756097560976,5,0.519527311843945,🏆仁慈
sh688110,19.216584430143946,0.975483916507287,0.4,173.38826582657921,0.8779355248565583,2.090909090909091,5,0.5061843076283339,🏆仁慈
sz301089,17.517762482683356,0.30840728302988873,1.0,99,0.7087436600398405,0.23529411764705882,2,5.666548251875569,🏆仁慈
sz159834,17.09611541047188,0.31815840627449843,1.0,99,0.6760866133333091,0.24561403508771928,2,1.2376861155938166,🏆仁慈
bj920807,16.682319889425134,0.42015769135216646,1.0,99,0.4901839732441942,0.2222222222222222,3,0.7286233130601717,🏆仁慈
sz002975,16.483617995742424,0.6425938690123135,0.75,125.04279979655556,1.0194998883368436,2.727272727272727,4,-0.17994670122086406,🏆仁慈
sz301232,16.312234743540582,0.9700512446197173,0.5,29.34099420301689,1.473731698556878,0.2857142857142857,2,-0.6701024756971075,🏆仁慈
sh605255,15.8878145540587,1.8358636858388102,0.5833333333333334,22.56179077254036,0.876742593557637,0.3333333333333333,12,0.31474560006879,🏆仁慈
sz159831,15.482728552608368,0.3084073836173051,1.0,99,0.6464693233516587,0.27485380116959063,2,1.163213879286303,🏆仁慈
sz301209,14.937138490601573,1.0292779664751546,0.5,18.577185098911674,1.9595868977123134,0.2542372881355932,2,1.6420876230822958,🏆仁慈
sh588910,14.46514603486415,0.5256287830419331,1.0,99,0.6570359788024163,1.3636363636363635,1,0.5114562573313198,🏆仁慈
sh605287,14.406954142718634,0.28474215864018904,1.0,99,0.7009037751143115,0.37142857142857144,2,1.9943183203598127,🏆仁慈
sz301237,13.221402850870641,0.3471680945784563,1.0,99,0.7343940462236577,0.9090909090909091,2,-0.4444961807508167,🏆仁慈
sz159326,11.217402487506078,0.47853903102113876,1.0,99,0.29141799966030885,0.23076923076923078,3,0.7589741508356225,🏆仁慈
bj920837,11.048042743077572,0.40519116001531824,1.0,99,0.4207754354005228,0.5277777777777778,3,-0.04799838168622837,🏆仁慈
sh688401,10.868961168547562,0.2505102992413745,1.0,99,0.9586836451737217,1.1875,1,0.31642285056448327,🏆仁慈
sz301638,9.766843963522172,0.7132785059150484,1.0,99,0.22632875668458263,0.6363636363636364,2,-0.02698913690285255,🏆仁慈
sh605303,9.07135423888041,0.25767551874318967,1.0,99,0.6788758859195574,0.9090909090909091,2,0.7936715597537372,🏆仁慈
bj920427,8.878446150365912,2.8426463377621376,0.6,38.474075474873686,1.62358838906799,11.0,10,1.1145506004874353,🏆仁慈
sh605376,8.553264487353255,0.29477885621384375,0.5,234.28601222041866,0.4053209272940352,0.6363636363636364,4,3.6601799415015046,🏆仁慈
sz159387,7.8274293984274825,0.8471459639409651,0.5,48.01359104464042,0.456155519045135,0.18518518518518517,2,2.0299588828984496,🏆仁慈
bj920706,7.429289540500003,0.28590415349698295,1.0,99,0.3353875646791531,0.2777777777777778,2,0.9931904725924965,🏆仁慈
sz301626,7.265100961973764,0.2321679219913958,1.0,99,0.3973643280237351,0.2571428571428571,1,-0.749081532505872,🏆仁慈
sz301061,6.8130486167704705,0.4045419152037507,1.0,99,0.38275888900047184,1.25,5,0.28793520548863144,🏆仁慈
sz301468,6.787529408870015,0.42097019090614024,1.0,99,0.3076320625852563,0.8888888888888888,4,4.154667853126689,🏆仁慈
sh688257,6.747816399123939,0.20776873927028724,1.0,99,0.4794663213929705,0.46153846153846156,2,0.0109558031173724,🏆仁慈
sz159215,6.616847023586546,0.34859937574159494,1.0,99,0.43574921967699365,1.2727272727272727,1,0.2628461710068906,🏆仁慈
